Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Conference name,Document Type
Lourenço M.P.; Herrera L.B.; Hostaš J.; Calaminici P.; Köster A.M.; Tchagang A.; Salahub D.R.,A new active learning approach for adsorbate–substrate structural elucidation in silico,2022,Journal of Molecular Modeling,4,10.1007/s00894-022-05173-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131170905&doi=10.1007%2fs00894-022-05173-0&partnerID=40&md5=e58b8e39b0c9b6aedc91243eafeb92c3,"Adsorbate interactions with substrates (e.g. surfaces and nanoparticles) are fundamental for several technologies, such as functional materials, supramolecular chemistry, and solvent interactions. However, modeling these kinds of systems in silico, such as finding the optimum adsorption geometry and energy, is challenging, due to the huge number of possibilities of assembling the adsorbate on the surface. In the current work, we have developed an artificial intelligence (AI) approach based on an active learning (AL) method for adsorption optimization on the surface of materials. AL uses machine learning (ML) regression algorithms and their uncertainties to make a decision (based on a policy) for the next unexplored structures to be computed, increasing, though, the probability of finding the global minimum with a small number of calculations. The methodology allows an accurate and automated structural elucidation of the adsorbate on the surface, based on the minimization of the total electronic energy. The new AL method for adsorption optimization was developed and implemented in the quantum machine learning software/agent for material design and discovery (QMLMaterial) program and was applied for C60@TiO2 anatase (101). It marks another software extension with a new feature in addition to the automatic structural elucidation of defects in materials and of nanoparticles as well. SCC-DFTB calculations were used to build the complex search surfaces with a reasonably low computational cost. An artificial neural network (NN) was employed in the AL framework evaluated together with two uncertainty quantification methods: K-fold cross-validation and non-parametric bootstrap (BS) resampling. Also, two different acquisition functions for decision-making were used: expected improvement (EI) and the lower confidence bound (LCB). Graphical abstract: [Figure not available: see fulltext.] © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Active learning; Adsorption; Functional materials; Machine learning; SCC-DFTB,"Adsorption; Artificial Intelligence; Machine Learning; Neural Networks, Computer; Software; titanium dioxide; active learning; adsorption; Article; artificial intelligence; artificial neural network; computer model; cross validation; decision making; k fold cross validation; machine learning; quantum chemistry; supramolecular chemistry; adsorption; software",,Article
Mohammadisiahroudi M.; Wu Z.; Augustino B.; Terlaky T.; Carr A.,Quantum-enhanced Regression Analysis Using State-of-the-art QLSAs and QIPMs,2022,"Proceedings - 2022 IEEE/ACM 7th Symposium on Edge Computing, SEC 2022",0,10.1109/SEC54971.2022.00055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146652235&doi=10.1109%2fSEC54971.2022.00055&partnerID=40&md5=d9878d6db0a729c2137d79c493a54626,"Quantum computing has the potential to speed up machine learning methods. One major direction is using quantum linear algebra to solve linear system problems or optimization problems in the machine learning area. Quantum approaches in the literature for different types of least squares problems demonstrate speedups w.r.t. dimension but have disadvantages w.r.t. precision and condition number. In this paper, we discuss how an iterative refinement scheme can deliver an accurate solution without the excessive cost of Quantum Linear System Algorithms (QLSAs). In addition, we propose an adaptive regularization approach that can mitigate the effect of condition number on solution time. In the second part of this paper, we investigate how state-of-the-art Quantum Interior Point Methods (QIPMs) can solve more sophisticated regression problems such as Lasso regression and support vector machine problems, which can be reformulated as quadratic optimization problems.  © 2022 IEEE.",Iterative Refinement; Lasso Regression; Least Squares Method; Quantum Interior Point Method; Quantum Linear System Algorithm; Quantum Machine Learning; Support Vector Machine,Iterative methods; Learning systems; Least squares approximations; Linear algebra; Linear programming; Linear systems; Number theory; Quadratic programming; Quantum computers; Quantum theory; Regression analysis; Interior-point method; Iterative refinement; Lasso regressions; Least-squares- methods; Machine-learning; Quantum interior point method; Quantum linear system algorithm; Quantum linear systems; Quantum machine learning; Quantum machines; Support vectors machine; System algorithm; Support vector machines,"7th IEEE/ACM Symposium on Edge Computing, SEC 2022",Conference paper
Lowe A.; Gordon M.H.; Czarnik P.; Arrasmith A.; Coles P.J.; Cincio L.,Unified approach to data-driven quantum error mitigation,2021,Physical Review Research,31,10.1103/PhysRevResearch.3.033098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115676620&doi=10.1103%2fPhysRevResearch.3.033098&partnerID=40&md5=f271510bd51699fbffc9726a15dee7bb,"Achieving near-term quantum advantage will require effective methods for mitigating hardware noise. Data-driven approaches to error mitigation are promising, with popular examples including zero-noise extrapolation (ZNE) and Clifford data regression (CDR). Here, we propose a scalable error mitigation method that conceptually unifies ZNE and CDR. Our approach, called variable-noise Clifford data regression (vnCDR), significantly outperforms these individual methods in numerical benchmarks. vnCDR generates training data first via near-Clifford circuits (which are classically simulable) and second by varying the noise levels in these circuits. We employ a noise model obtained from IBM's Ourense quantum computer to benchmark our method. For the problem of estimating the energy of an 8-qubit Ising model system, vnCDR improves the absolute energy error by a factor of 33 over the unmitigated results and by factors of 20 and 1.8 over ZNE and CDR, respectively. For the problem of correcting observables from random quantum circuits with 64 qubits, vnCDR improves the error by factors of 2.7 and 1.5 over ZNE and CDR, respectively. © 2021 Published by the American Physical Society",,Clock and data recovery circuits (CDR circuits); Ising model; Numerical methods; Qubits; Data regression; Data-driven approach; Error mitigation; Noise modeling; Numerical benchmark; Quantum circuit; Quantum error; Unified approach; Errors,,Article
Agarwal P.; Alam M.,Quantum-Inspired Support Vector Machines for Human Activity Recognition in Industry 4.0,2022,Lecture Notes on Data Engineering and Communications Technologies,7,10.1007/978-981-16-6289-8_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122436390&doi=10.1007%2f978-981-16-6289-8_24&partnerID=40&md5=afe96fe0349df2231a6149a43620fe36,"In Industry 4.0, robots and humans share roles and responsibilities. Many industries, such as manufacturing and logistics, still depend heavily on manual labor. However, by integrating sensor technology and data processing, different processes can be appropriately tracked and streamlined. Comprehensive knowledge of the occurrence, duration, and properties of related human activities is needed to draw inferences on enhancing employee performance. The increased use of numerous wearable sensors to monitor human activities has resulted in an unexpected data explosion. The pace at which this data is being generated is expected to outpace conventional technology’s ability to handle it by 2030. At present, quantum computing is the most promising market solution. This paper proposes the use of a quantum support vector machines for human activity recognition. As compared to various state-of-the-art machine learning algorithms, such as linear discriminant analysis (LDA), logistic regression, k-nearest neighbor (kNN), and conventional support vector machines (SVMs) with three different kernels, the proposed approach takes the lead by achieving an accuracy of 98% with execution time of 19 s. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Human activity recognition (HAR); Industry 4.0; Machine learning; Quantum computing; Quantum support vector machines (QSVMs),Data handling; Discriminant analysis; Industry 4.0; Learning algorithms; Nearest neighbor search; Pattern recognition; Quantum computers; Vectors; Wearable sensors; Human activities; Human activity recognition; Integrating sensors; Manual labors; Quantum Computing; Quantum support vector machine; Sensor technologies; Sensors data; Support vectors machine; Support vector machines,,Book chapter
Chen J.; Park C.; Ke Y.,Learning High Dimensional Multi-response Linear Models with Non-oracular Quantum Search,2022,"Proceedings - 2022 IEEE International Conference on Quantum Computing and Engineering, QCE 2022",1,10.1109/QCE53715.2022.00018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143616536&doi=10.1109%2fQCE53715.2022.00018&partnerID=40&md5=26eae15fd37f1367f812fd315491bcb7,"This paper studies linear regression models for high dimensional multi-response data with a hybrid quantum computing algorithm. We propose an intuitively appealing estimation method based on identifying the linearly independent columns in the coefficient matrix. Our method relaxes the low rank constraint in the existing literature and allows the rank to diverge with dimensions. The linearly independent columns are selected by a novel non-oracular quantum search (NQS) algorithm which is significantly faster than classical search methods implemented on electronic computers. Besides, NQS achieves a near optimal computational complexity as existing quantum search algorithms but does not require any oracle information of the solution state. We prove the proposed estimation procedure enjoys desirable theoretical properties. Intensive numerical experiments are also conducted to demonstrate the finite sample performance of the proposed method, and a comparison is made with some popular competitors. The results show that our method outperforms all of the alternative methods under various circumstances.  © 2022 IEEE.",Grover's algorithm; high dimensional data; multi-response linear model; non-oracular quantum search; quantum machine learning,Clustering algorithms; Learning algorithms; Numerical methods; Quantum computers; Quantum theory; Regression analysis; Sampling; Grover's Algorithm; High dimensional data; Linear modeling; Machine-learning; Multi-response linear model; Multiresponse; Non-oracular quantum search; Quantum machine learning; Quantum machines; Quantum search; Machine learning,"3rd IEEE International Conference on Quantum Computing and Engineering, QCE 2022",Conference paper
Pan S.; Gao F.; Wan L.; Qin S.; Wen Q.,Quantum Algorithm for Spectral Regression; [量子谱回归算法],2021,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,2,10.7544/issn1000-1239.2021.20210366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114727609&doi=10.7544%2fissn1000-1239.2021.20210366&partnerID=40&md5=21b34bde54d7a4fe692155b53cadb6db,"Subspace learning is an important research direction in the field of machine learning. In order to reduce the complexity of subspace learning, Cai et al. proposed a spectral regression dimensionality reduction framework, and proposed efficient spectral regression for subspace learning that constructed their graph by incorporating the label information. In recent years, the development of quantum computing has made it possible to further reduce the complexity of subspace learning algorithms. Meng et al. pioneered the quantum algorithm for spectral regression (MYXZ algorithm). In this article, the limitations of the MYXZ algorithm are pointed out. We point out that MYXZ algorithm uses sparse Hamiltonian simulation technology to process the matrix generated by the weight matrix, but this matrix is a dense matrix in some cases. In response to this situation, we propose an improved quantum spectral regression algorithm. Our improved algorithm uses quantum singular value estimation technology, which has a polynomial acceleration compared with MYXZ algorithm when dealing with dense matrices. In addition, we propose a new quantum algorithm to accelerate the classical efficient spectral regression. The problems that our new algorithm can handle cannot be handled by MYXZ algorithm. Our algorithm utilizes quantum ridge regression and quantum matrix vector multiplication technology. Under the same parameter conditions, our algorithm has polynomial acceleration effect compared with the classical algorithm. © 2021, Science Press. All right reserved.",Dense matrix; Quantum algorithm; Quantum machine learning; Spectral regression; Subspace learning,Dimensionality reduction; Quantum computers; Quantum theory; Regression analysis; Vectors; Acceleration effects; Label information; Matrix vector multiplication; Parameter conditions; Quantum algorithms; Quantum Computing; Simulation technologies; Spectral regressions; Learning algorithms,,Article
Kulkarni A.; Joshi D.,Quantum Algorithm for Linear Regression for Large Feature-Set,2022,ACM International Conference Proceeding Series,0,10.1145/3493700.3493759,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122687165&doi=10.1145%2f3493700.3493759&partnerID=40&md5=ad7c426363df56fcb989d3b4747c03d6,"Linear Regression is a widely used optimization problem with many practical applications. Adiabatic Quantum Computers are excellent at solving such optimization problems. Current quantum-based solutions allow for datasets having only a small number of features (maximum 32). We have come up with a novel approach that allows for a greater number of features for Linear Regression. We have found that our approach works for a large number of features, ranging from 64 to 128. We obtained a reasonably similar MSE (Mean Squared Error) to that of sklearn's standard Linear Regression class, with a difference that lies between 0.01 and 0.03.  © 2022 Owner/Author.",,Mean square error; Optimization; Quantum computers; Quantum theory; 'current; Features sets; Mean squared error; Optimization problems; Quanta computers; Quantum algorithms; Regression class; Linear regression,"5th ACM India Joint 9th ACM IKDD Conference on Data Science and 27th International Conference on Management of Data, CODS-COMAD 2022",Conference paper
Varshney N.; Kumar G.; Kumar A.; Pandey S.K.; Singh T.; Singh K.U.,Machine Learning Based Algorithm for Earthquake Monitoring,2023,"Proceedings - 2023 12th IEEE International Conference on Communication Systems and Network Technologies, CSNT 2023",0,10.1109/CSNT57126.2023.10134640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161969702&doi=10.1109%2fCSNT57126.2023.10134640&partnerID=40&md5=d66d37a7286a63c2ea26f914b66b8e53,"In this paper, we are trying to predict the Earthquake before it happens using seismic indicators anywhere around the world. It is an important task, on detecting seismic events from seismic time series using machine learning techniques. When we train a dataset for any one location it should also be applicable to detect at the other locations. Earthquakes are one of the most dangerous and deadly natural disasters. It is very important for the safety of all human beings as well as all the animals living on the planet to predict the earthquake way before it is going to happen. The population of the earth is increasing at a very rapid rate so the human population is also settling in the areas where the region is at very high risk of earthquakes which also causes more people to be affected by the impact of the earthquakes and more people to die. During this research various machine learning techniques were used such as Support Vector Machine, Random Forest, Neural Network, Convolutional Neural Network, Quantum Machine Learning, K-Nearest Neighbor, Machine Learning Risk Prediction Algorithm, Deep learning Model, and Regression. © 2023 IEEE.",Convolutional Neural Network; Deep Learning Model; K-Nearest Neighbor; Quantum Machine Learning; Risk Prediction Algorithm,Convolution; Convolutional neural networks; Deep learning; Disasters; Forecasting; Learning algorithms; Learning systems; Motion compensation; Nearest neighbor search; Support vector machines; Convolutional neural network; Deep learning model; K-near neighbor; Learning models; Machine-learning; Nearest-neighbour; Prediction algorithms; Quantum machine learning; Quantum machines; Risk prediction algorithm; Risk predictions; Earthquakes,"12th IEEE International Conference on Communication Systems and Network Technologies, CSNT 2023",Conference paper
Izawa S.; Kitai K.; Tanaka S.; Tamura R.; Tsuda K.,Continuous black-box optimization with an Ising machine and random subspace coding,2022,Physical Review Research,3,10.1103/PhysRevResearch.4.023062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130627993&doi=10.1103%2fPhysRevResearch.4.023062&partnerID=40&md5=ed1e07f17ad2e54d6408e85dca5fee9f,"A black-box optimization algorithm such as Bayesian optimization finds the extremum of an unknown function by alternating the inference of the underlying function and optimization of an acquisition function. In a high-dimensional space, such algorithms perform poorly due to the difficulty of acquisition function optimization. Herein, we apply Ising machines to overcome the difficulty in the continuous black-box optimization. As an Ising machine specializes in optimization of binary problems, a continuous vector has to be encoded to binary, and the solution by Ising machines has to be translated back. Our method has the following three parts: (1) random subspace coding based on axis-parallel hyperrectangles from continuous vector to binary vector, (2) a quadratic unconstrained binary optimization (QUBO) defined by the acquisition function based on the nonnegative-weighted linear regression model, which is solved by Ising machines, and (3) a penalization scheme to ensure that the solution can be translated back. It is shown with benchmark tests that its performance using the D-Wave Advantage quantum annealer and simulated annealing is competitive with a state-of-the-art method based on the Gaussian process in high-dimensional problems. Our method may open up the possibility of Ising machines and other QUBO solvers, including a quantum approximate optimization algorithm using gated-quantum computers, and may expand its range of application to continuous-valued problems.  © 2022 authors.",,Bayesian networks; Benchmarking; Inference engines; Mergers and acquisitions; Quantum theory; Qubits; Regression analysis; Simulated annealing; Bayesian optimization; Binary optimization; Binary problems; Black-box optimization; Function Optimization; High dimensional spaces; On-axis; Optimisations; Optimization algorithms; Random subspace coding; Vectors,,Article
Hou Y.-Y.; Li J.; Chen X.-B.; Ye C.-Q.,A partial least squares regression model based on variational quantum algorithm,2022,Laser Physics Letters,0,10.1088/1612-202X/ac81b6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135445188&doi=10.1088%2f1612-202X%2fac81b6&partnerID=40&md5=03498c89ea35fab8befe414b63a3db6f,"Partial least squares regression (PLSR) is an essential multivariate correlation analysis method in machine learning field. In this paper, we propose a variational quantum algorithm for partial least regression (VQPLSR). By exploring the relationship between standard basis states and optimization, we design a cost function that can train regression parameters and weight vectors simultaneously. The VQPLS requires only one copy of variables as input, which reduces the complexity of quantum circuit implementation. Compared with PLSR, the VQPLSR achieves an exponential speed-up in the independent variable dimension n and dependent variable dimension w. Simulation results show that regression parameters and weight vectors can be constructed with the error ∼10−5 for 4 × 2 dimensional variable matrix. This algorithm inspires us to explore more quantum applications in machine learning. © 2022 Astro Ltd.",parameterized quantum circuit; partial least squares regression; quantum machine learning; variational quantum algorithm,,,Article
,"2022 International Electron Devices Meeting, IEDM 2022",2022,"Technical Digest - International Electron Devices Meeting, IEDM",0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147526612&partnerID=40&md5=11b155b91bdf62fe06c1ee2e32401423,The proceedings contain 226 papers. The topics discussed include: celebrating 75 years of the transistor a look at the evolution of Moore’s law innovation; expanding human potential through imaging and sensing technologies; enabling full fault tolerant quantum computing with silicon based VLSI technologies; experimental demonstration of high-order in-memory computing based on IGZO charge trapping ram array for polynomial regression acceleration; application-hardware co-design: system-level optimization of neuromorphic computers with neuromorphic devices; dynamics of PSG-based nanosecond protonic programmable resistors for analog deep learning; advanced system in package enabled by wafer level heterogeneous integration of chiplets; advanced packaging technology platforms for chiplets and heterogeneous integration; advanced substrate packaging technologies for enabling heterogeneous integration (HI) applications; hybrid substrates for chiplet design and heterogeneous integration packaging; thermally resilient microwave switch and power limiter based on insulator-metal transition of lanthanum cobalt oxide; and resonant tunneling diode technology for future terahertz applications.,,,"2022 International Electron Devices Meeting, IEDM 2022",Conference review
Nishi T.; Lötstedt E.; Yamanouchi K.,Simulation of a laser-driven three-level system by a noisy quantum computer,2022,AVS Quantum Science,0,10.1116/5.0098614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145722011&doi=10.1116%2f5.0098614&partnerID=40&md5=f677e31b6d54566a1e92feff4328012b,"By adopting the variational quantum simulator method on noisy quantum computers, we simulate the temporal evolution of the population transfer in a laser-driven three-level system, representing N 2 + suddenly exposed to an intense laser field. We have conducted experiments using an IBM Quantum computer. In order to mitigate the error caused by the execution of the Hadamard test circuits, the Clifford data regression method is adopted. The characteristic features in the temporal evolution of the population transfer, leading to the population inversion and the air lasing, have been well reproduced.  © 2022 Author(s).",,,,Article
Bultrini D.; Gordon M.H.; Czarnik P.; Arrasmith A.; Cerezo M.; Coles P.J.; Cincio L.,Unifying and benchmarking state-of-the-art quantum error mitigation techniques,2023,Quantum,1,10.22331/Q-2023-06-06-1034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165894030&doi=10.22331%2fQ-2023-06-06-1034&partnerID=40&md5=188ab5af1370bfe430e7c59b448d8423,"Error mitigation is an essential component of achieving a practical quantum advantage in the near term, and a number of different approaches have been proposed. In this work, we recognize that many state-of-the-art error mitigation methods share a common feature: they are data-driven, employing classical data obtained from runs of different quantum circuits. For example, Zero-noise extrapolation (ZNE) uses variable noise data and Clifford-data regression (CDR) uses data from near-Clifford circuits. We show that Virtual Distillation (VD) can be viewed in a similar manner by considering classical data produced from different numbers of state preparations. Observing this fact allows us to unify these three methods under a general data-driven error mitigation framework that we call UNIfied Technique for Error mitigation with Data (UNITED). In certain situations, we find that our UNITED method can outperform the individual methods (i.e., the whole is better than the individual parts). Specifically, we employ a realistic noise model obtained from a trapped ion quantum computer to benchmark UNITED, as well as other state-of-the-art methods, in mitigating observables produced from random quantum circuits and the Quantum Alternating Operator Ansatz (QAOA) applied to Max-Cut problems with various numbers of qubits, circuit depths and total numbers of shots. We find that the performance of different techniques depends strongly on shot budgets, with more powerful methods requiring more shots for optimal performance. For our largest considered shot budget (1010), we find that UNITED gives the most accurate mitigation. Hence, our work represents a benchmarking of current error mitigation methods and provides a guide for the regimes when certain methods are most useful. © 2022 Gazi Entomological Research Society. All rights reserved.",,,,Article
Ren S.; Fonseca E.; Perry W.; Cheng H.-P.; Zhang X.-G.; Hennig R.G.,Ligand Optimization of Exchange Interaction in Co(II) Dimer Single Molecule Magnet by Machine Learning,2022,Journal of Physical Chemistry A,2,10.1021/acs.jpca.1c08950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123620040&doi=10.1021%2facs.jpca.1c08950&partnerID=40&md5=1a8420c6c83aff0b417043e7fd148945,"Designing single-molecule magnets (SMMs) for potential applications in quantum computing and high-density data storage requires tuning their magnetic properties, especially the strength of the magnetic interaction. These properties can be characterized by first-principles calculations based on density functional theory (DFT). In this work, we study the experimentally synthesized Co(II) dimer (Co2(C5NH5)4(μ-PO2(CH2C6H5)2)3) SMM with the goal to control the exchange energy, ΔEJ, between the Co atoms through tuning of the capping ligands. The experimentally synthesized Co(II) dimer molecule has a very small ΔEJ < 1 meV. We assemble a DFT data set of 1081 ligand substitutions for the Co(II) dimer. The ligand exchange provides a broad range of exchange energies, ΔEJ, from +50 to -200 meV, with 80% of the ligands yielding a small ΔEJ < 10 meV. We identify descriptors for the classification and regression of ΔEJ using gradient boosting machine learning models. We compare one-hot encoded, structure-based, and chemical descriptors consisting of the HOMO/LUMO energies of the individual ligands and the maximum electronegativity difference and bond order for the ligand atom connecting to Co. We observe a similar overall performance with the chemical descriptors outperforming the other descriptors. We show that the exchange coupling, ΔEJ, is correlated to the difference in the average bridging angle between the ferromagnetic and antiferromagnetic states, similar to the Goodenough-Kanamori rules.  © 2022 American Chemical Society. All rights reserved.",,Adaptive boosting; Calculations; Chemical bonds; Cobalt compounds; Computation theory; Density functional theory; Digital storage; Electronic structure; Ligands; Machine learning; Magnetic couplings; Magnetic storage; Magnets; Molecules; Quantum computers; Synthesis (chemical); Tuning; Chemical descriptors; Density-functional-theory; Descriptors; Exchange energy; High density data storage; Machine-learning; Optimisations; Quantum Computing; Single-molecule magnet; Synthesised; Dimers,,Article
Kumbargeri V.; Sinha N.; Chickerur S.,A quantum machine learning classifier model for diabetes,2021,Lecture Notes on Data Engineering and Communications Technologies,1,10.1007/978-981-15-9651-3_50,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101123205&doi=10.1007%2f978-981-15-9651-3_50&partnerID=40&md5=28e66ff95c2efaabec09efb37e8b6690,"This paper demonstrates the advantages of quantum machine learning by using the quantum kitchen sinks (QKS) algorithm. Quantum machine learning (QML) is implemented along with the QKS to check the accuracy with the help of the hybrid algorithm. By optimizing the quantum learning, the accuracy of the algorithm is compared with the classical machine learning. The objective of the proposed work was to train a simple machine learning algorithm on a hybrid quantum computer/simulator to evaluate whether the hybrid quantum computer would be trained with higher accuracy compared to a conventional computer. The diabetics’ dataset was used to train a logistic regression model as a binary classifier. Two qubits were used for implementing the QML algorithm on a quantum simulator. The Quantum kitchen sinks employ the quantum circuits which are used to nonlinearly tranform standard inputs into features that can be utilized by numerous machine learning algorithms. The features from the dataset were extracted using the quantum kitchen sinks (QKS), which is then fed into a classical logistic regression algorithm for training. This technique of extracting features from quantum techniques and using a classical computer for prediction empowers machine learning to obtain high accuracy. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2021.",Diabetes; Machine learning; Quantum computing; Quantum kitchen sinks,Classification (of information); Kitchens; Logistic regression; Machine learning; Machinery; Qubits; Binary classifiers; Conventional computers; Extracting features; Hybrid algorithms; Logistic regression algorithms; Logistic Regression modeling; Quantum simulators; Quantum techniques; Learning algorithms,,Book chapter
Aoyama K.; Komatsu K.; Kumagai M.; Kobayashi H.,Analysis of Precision Vectors for Ising-Based Linear Regression,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),0,10.1007/978-3-031-29927-8_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159397384&doi=10.1007%2f978-3-031-29927-8_20&partnerID=40&md5=2256a38f4db1a9bb1afcf991250b05e1,"Quantum computing has been much attention as one of the new computational principles. In particular, annealing machines that use the Ising model of statistical mechanics are emerging and feasible next-generation computational technology. Annealing machines can solve combinatorial optimization problems that have been considered difficult to solve in classical computing principles. Currently, Ising-based algorithms are being vigorously developed to perform various applications such as machine learning by solving them as combinatorial optimization problems. On the other hand, the amount of data, such as sensor data and simulation data, used in machine learning applications is drastically increasing. It becomes difficult to handle large amounts of data. In particular, since the number of qubits of annealing machines is limited, Ising-based algorithms independent of data size are strongly required. This paper focuses on Ising-based linear regression that utilizes a precision vector instead of each data element of target data. Although the use of a precision vector is a key point that can reduce the number of qubits against the amount of data, detail such as how many elements of a precision vector is necessary and how these elements are set to be is not clarified yet. This paper discusses the characteristics of a precision vector through performance evaluation of Ising-based linear regression with a practical data set in empirical ways. The experimental results show that a proper precision vector considering the input data set can improve the quality of the linear regression. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Ising Machines; Linear Regression; Precision Vector; Simulated Annealing,Annealing; Combinatorial optimization; Ising model; Linear regression; Machine learning; Qubits; Statistical mechanics; Vectors; Classical computing; Combinatorial optimization problems; Computational technology; Data set; Ising machine; Machine-learning; Precision vector; Quantum Computing; Sensor Simulations; Sensors data; Simulated annealing,"23rd International Conference on Parallel and Distributed Computing, Applications, and Technologies, PDCAT 2022",Conference paper
Roman-Vicharra C.; Cai J.J.,Quantum gene regulatory networks,2023,npj Quantum Information,0,10.1038/s41534-023-00740-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165222505&doi=10.1038%2fs41534-023-00740-6&partnerID=40&md5=de37fe23094e26ae7bfc3120869db726,"In this work, we present a quantum circuit model for inferring gene regulatory networks (GRNs) from single-cell transcriptomic data. The model employs qubit entanglement to simulate interactions between genes, resulting in competitive performance and promising potential for further exploration. We applied our quantum GRN modeling approach to single-cell transcriptomic data from human lymphoblastoid cells, focusing on a small set of genes involved in innate immunity regulation. Our quantum circuit model successfully predicted the presence and absence of regulatory interactions between genes, while also estimating the strength of these interactions. We argue that the application of quantum computing in biology has the potential to provide a better understanding of single-cell GRNs by more effectively approaching the relationship between fully interconnected genes compared to conventional statistical methods such as correlation and regression. Our results encourage further investigation into the creation of quantum algorithms that utilize single-cell data, paving the way for future research into the intersection of quantum computing and biology. © 2023, The Author(s).",,Circuit simulation; Correlation methods; Cytology; Quantum computers; Quantum entanglement; Circuit modeling; Competitive performance; Gene regulatory network model; Gene regulatory networks; Modeling approach; Quantum circuit; Quantum Computing; Qubit entanglement; Single cells; Transcriptomics; Genes,,Article
Djehiche B.; Löfdahl B.,Quantum support vector regression for disability insurance,2021,Risks,0,10.3390/risks9120216,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121817427&doi=10.3390%2frisks9120216&partnerID=40&md5=4962ba20c325aa10a2f3ed11b20e7ff0,"We propose a hybrid classical-quantum approach for modeling transition probabilities in health and disability insurance. The modeling of logistic disability inception probabilities is formulated as a support vector regression problem. Using a quantum feature map, the data are mapped to quantum states belonging to a quantum feature space, where the associated kernel is determined by the inner product between the quantum states. This quantum kernel can be efficiently estimated on a quantum computer. We conduct experiments on the IBM Yorktown quantum computer, fitting the model to disability inception data from a Swedish insurance company. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Disability insurance; Machine learning; Quantum computing; Support vector machines,,,Article
Kubečka J.; Christensen A.S.; Rasmussen F.R.; Elm J.,Quantum Machine Learning Approach for Studying Atmospheric Cluster Formation,2022,Environmental Science and Technology Letters,15,10.1021/acs.estlett.1c00997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124297131&doi=10.1021%2facs.estlett.1c00997&partnerID=40&md5=8fc3dd57f40f4b4dafc6550943236af4,"Quantum chemical (QC) calculations can yield direct insight into an atmospheric cluster formation mechanism and cluster formation rates. However, such calculations are extremely computationally demanding as more than millions of cluster configurations might exist and need to be computed. We present an efficient approach to produce high quality QC data sets for applications in cluster formation studies and how to train an accurate quantum machine learning model on the generated data. Using the two-component sulfuric acid-water system as a proof of concept, we demonstrate that a kernel ridge regression machine learning model with Δ-learning can be trained to accurately predict the binding energies of cluster equilibrium configurations with mean absolute errors below 0.5 kcal mol-1. Additionally, we enlarge the training data set with nonequilibrium configurations and show the possibility of predicting the binding energies of new structures of clusters several molecules larger than those in the training set. Applying the trained machine learning model leads to a drastic reduction in the number of relevant clusters that need to be explicitly evaluated by QC methods. The presented approach is directly transferable to clusters of arbitrary composition and will lead to faster and more efficient exploration of the configurational space of new cluster systems. © 2022 American Chemical Society. All rights reserved.",,Atmospheric chemistry; Machine learning; Quantum chemistry; Regression analysis; Cluster configurations; Cluster formations; Formation mechanism; Formation rates; High quality; Machine learning approaches; Machine learning models; Quantum chemical calculations; Quantum machines; Quantum-chemical calculation; Binding energy,,Article
