Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Conference name
Deville Y.; Deville A.,New Single-Preparation Methods for Unsupervised Quantum Machine Learning Problems,2021,IEEE Transactions on Quantum Engineering,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121675692&doi=10.1109%2fTQE.2021.3121797&partnerID=40&md5=982001bfb44095bc94c3caa22bcef37a,"The term 'machine learning' especially refers to algorithms that derive mappings, i.e., input-output transforms, by using numerical data that provide information about considered transforms. These transforms appear in many problems related to classification/clustering, regression, system identification, system inversion, and input signal restoration/separation. We here analyze the connections between all these problems in the classical and quantum frameworks. We then focus on their most challenging versions, involving quantum data and/or quantum processing means, and unsupervised, i.e., blind, learning. We consider the general single-preparation quantum information processing (SIPQIP) framework that we have recently proposed. It involves methods that can work with a single instance of each (unknown) state, whereas usual methods are quite cumbersome because they have to very accurately create many copies of each (known) state. In our previous papers, we applied the SIPQIP approach to only one task [blind quantum process tomography (BQPT)], but it opens the way to a large range of other types of methods. In this article, we, therefore, propose various new SIPQIP methods that efficiently perform tasks related to system identification (blind Hamiltonian parameter estimation (BHPE), blind quantum channel identification/estimation, and blind phase estimation), system inversion and state estimation (blind quantum source separation (BQSS), blind quantum entangled state restoration (BQSR), and blind quantum channel equalization), and classification. Numerical tests show that our SIPQIP framework, moreover, yields much more accurate estimation than the usual multiple-preparation approach. Our methods are especially useful in a quantum computer, which we propose to more briefly call a 'quamputer': BQPT and BHPE simplify the characterization of quamputer gates; BQSS and BQSR yield quantum gates that may be used to compensate for the nonidealities that alter states stored in quantum registers and open the way to very general self-adaptive quantum gates. © 2020 IEEE.",Blind Hamiltonian parameter estimation (BHPE); blind quantum process tomography (BQPT); blind quantum source separation (BQSS); blind quantum state restoration (BQSR); blind/unsupervised quantum machine learning; Heisenberg exchange coupling; quantum classification; quantum computer (quamputer); single-preparation quantum information processing (SIPQIP); spin-based qubits,Blind equalization; Blind source separation; Classification (of information); Hamiltonians; Machine learning; Parameter estimation; Quantum entanglement; Qubits; Religious buildings; Restoration; Signal reconstruction; Tomography; Blind hamiltonian parameter estimation; Blind quantum process tomography; Blind quantum source separation; Blind quantum source separations; Blind quantum state restoration; Blind/unsupervised quantum machine learning; Hamiltonian parameters; Heisenberg exchange; Heisenberg exchange coupling; Parameters estimation; Quanta computers; Quantum classification; Quantum computer; Quantum information processing; Quantum process tomography; Quantum state; Single-preparation quantum information processing; Spin-based qubit; State restoration; Quantum optics,
Klus S.; Gelß P.,Tensor-based algorithms for image classification,2019,Algorithms,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075399272&doi=10.3390%2fa12110240&partnerID=40&md5=6d59d75178ce9f17fc43bb635e77940e,"Interest in machine learning with tensor networks has been growing rapidly in recent years. We show that tensor-based methods developed for learning the governing equations of dynamical systems from data can, in the same way, be used for supervised learning problems and propose two novel approaches for image classification. One is a kernel-based reformulation of the previously introduced multidimensional approximation of nonlinear dynamics (MANDy), the other an alternating ridge regression in the tensor train format. We apply both methods to the MNIST and fashion MNIST data set and show that the approaches are competitive with state-of-the-art neural network-based classifiers. © 2019 by the authors.",Image classification; Kernel-based methods; Quantum machine learning; Ridge regression; Tensor train format,Classification (of information); Dynamical systems; Machine learning; Regression analysis; Tensors; Data set; Governing equations; Kernel based methods; Quantum machines; Ridge regression; State of the art; Supervised learning problems; Tensor trains; Image classification,
Incudini M.; Grossi M.; Ceschini A.; Mandarino A.; Panella M.; Vallecorsa S.; Windridge D.,Resource saving via ensemble techniques for quantum neural networks,2023,Quantum Machine Intelligence,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173578065&doi=10.1007%2fs42484-023-00126-z&partnerID=40&md5=848726c56a23792552978904f17f53a1,"Quantum neural networks hold significant promise for numerous applications, particularly as they can be executed on the current generation of quantum hardware. However, due to limited qubits or hardware noise, conducting large-scale experiments often requires significant resources. Moreover, the output of the model is susceptible to corruption by quantum hardware noise. To address this issue, we propose the use of ensemble techniques, which involve constructing a single machine learning model based on multiple instances of quantum neural networks. In particular, we implement bagging and AdaBoost techniques, with different data loading configurations, and evaluate their performance on both synthetic and real-world classification and regression tasks. To assess the potential performance improvement under different environments, we conducted experiments on both simulated, noiseless software and IBM superconducting-based QPUs, suggesting these techniques can mitigate the quantum hardware noise. Additionally, we quantify the amount of resources saved using these ensemble techniques. Our findings indicate that these methods enable the construction of large, powerful models even on relatively small quantum devices. © 2023, The Author(s).",Bagging; Boosting; Ensemble technique; Quantum machine learning; Quantum neural network,Machine learning; Qubits; Bagging; Boosting; Current generation; Ensemble techniques; Machine-learning; Performance; Quantum machine learning; Quantum machines; Quantum neural networks; Resource savings; Adaptive boosting,
Luangsirapornchai N.; Chongstitvatana P.,Quantum Circuit for Regression Learning with Backpropagation,2021,ICSEC 2021 - 25th International Computer Science and Engineering Conference,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125168139&doi=10.1109%2fICSEC53205.2021.9684610&partnerID=40&md5=e5387a371fc77d7cf9b203297fa1a7f3,"This work reports the experiment on building quantum circuit for regression learning using qiskit library. The circuit is based on Watabe's work with some modification based on our interpretation. The parameters and results are stored and used in the quantum circuits. We performed the experiments on fitting the linear function and quadratic function. From the experiment, learning the linear function is more accurate than quadratic function within 120 times of training. The initial parameters effect on the number of rounds of training and the accuracy of the result are investigated.  © 2021 IEEE.",Quantum Computing; Quantum Machine Learning,Backpropagation; Timing circuits; Experiment learning; Initial parameter; Linear functions; Linear quadratic; Machine-learning; Quadratic function; Quantum circuit; Quantum Computing; Quantum machine learning; Quantum machines; Quantum computers,"25th International Computer Science and Engineering Conference, ICSEC 2021"
Pernot P.; Huang B.; Savin A.,Impact of non-normal error distributions on the benchmarking and ranking of quantum machine learning models,2020,Machine Learning: Science and Technology,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096835610&doi=10.1088%2f2632-2153%2faba184&partnerID=40&md5=efca11a01b6db7cef2efe48b2f76ba27,"Quantum machine learning models have been gaining significant traction within atomistic simulation communities. Conventionally, relative model performances are being assessed and compared using learning curves (prediction error vs. training set size). This article illustrates the limitations of using the Mean Absolute Error (MAE) for benchmarking, which is particularly relevant in the case of non-normal error distributions. We analyze more specifically the prediction error distribution of the kernel ridge regression with SLATM representation and L2distance metric (KRR-SLATM-L2) for effective atomization energies of QM7b molecules calculated at the level of theory CCSD(T)/cc-pVDZ. Error distributions of HF and MP2 at the same basis set referenced to CCSD(T) values were also assessed and compared to the KRR model. We show that the true performance of the KRR-SLATM-L2 method over the QM7b dataset is poorly assessed by the Mean Absolute Error, and can be notably improved after adaptation of the learning set. © 2020 IOP. All rights reserved.",Benchmarking; Error analysis; Statistics,Benchmarking; Machine learning; Regression analysis; Atomistic simulations; Atomization energies; Error distributions; Kernel ridge regressions; Mean absolute error; Model performance; Prediction errors; Quantum machines; Errors,
Darwish S.M.; Shendi T.A.; Younes A.,Chemometrics approach for the prediction of chemical compounds’ toxicity degree based on quantum inspired optimization with applications in drug discovery,2019,Chemometrics and Intelligent Laboratory Systems,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071617952&doi=10.1016%2fj.chemolab.2019.103826&partnerID=40&md5=5f929532fa432f6553a65a106a758a66,"Chemometrics, the application of mathematical and statistical methods to the analysis of chemical data, is finding ever widening applications in the chemical process environment. The reliable prediction of toxic effects of chemicals in living systems is highly desirable in domains such as cosmetics, drug discovery, food safety, and the manufacturing of chemical compounds. Toxicity prediction requires several new approaches for knowledge discovery from data to paradigm composite associations between the modules of the chemical compound; the computational demands of such techniques increase greatly with the number of chemical compounds involved. State-of-the-art prediction methods such as neural networks and multi-layer regression require either tuning parameters or complex transformations of predictor or outcome variables and do not achieve highly accurate results. This paper proposes a Quantum Inspired Genetic Programming “QIGP” model to improve prediction accuracy. Genetic Programming is utilized to give a linear equation for calculating the degree of toxicity more accurately. Quantum computing is employed to improve the selection of the best-of-run individuals and handles parsimony pressure to reduce the complexity of solutions. The results of the internal validation analysis indicated that the QIGP model has better goodness of fit statistics then, and significantly outperforms, the Neural Network model. © 2019 Elsevier B.V.",Chemometrics; Genetic programming; Prediction model; Quantum computing,chemical compound; algorithm; Article; artificial neural network; calculation; chemical parameters; chemometrics; controlled study; data analysis; drug development; intermethod comparison; internal validity; mathematical analysis; mathematical parameters; measurement accuracy; prediction; priority journal; quantum chemistry; quantum computing; statistical analysis; toxicity,
Nemnes G.A.; Mitran T.L.; Preda A.T.; Ghiu I.; Marciu M.; Manolescu A.,Investigation of bi-particle states in gate-Array-controlled quantum-dot systems aided by machine learning techniques,2022,Physica Scripta,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128913073&doi=10.1088%2f1402-4896%2fac5ff6&partnerID=40&md5=db056883feaebca3abd2798809d7a737,"Quantum computing architectures require an accurate and efficient description in terms of many-electron states. Recent implementations include quantum dot arrays, where the ground state of a multi q-bit system can be altered by voltages applied to the top gates. An extensive investigation concerning the spectra of the many-electron systems under multiple operation conditions set by external voltages typically requires a relatively large number of Hamiltonian diagonalizations, where the Coulomb interaction is considered in an exact manner. Instead of making exhaustive calculations using high throughput computing, we approach this problem by augmenting numerical diagonalizations with machine learning techniques designed to predict the many-electron eigenvalues and eigenfunctions. To this end, we employ and compare the results from linear regression methods such as multivariate least squares (MLS) as well as non-linear techniques based on kernel ridge regression (KRR), Gaussian process regression (GPR) and artificial neural networks (ANNs). The input feature vectors are assembled from readily available information comprised from a binary representation of the potential and the strength of the Coulomb interaction. Furthermore, employing a linear classifier, we establish a rule for detecting a singlet-Triplet transition which may arise for certain potential configurations.  © 2022 IOP Publishing Ltd.",exact-diagonalization; machine learning; many-body systems; quantum dots,Computer architecture; Coulomb interactions; Eigenvalues and eigenfunctions; Ground state; Hamiltonians; Learning algorithms; Least squares approximations; Machine learning; Nanocrystals; Neural networks; Quantum computers; Quantum optics; Regression analysis; Diagonalizations; Exact diagonalization; Gate arrays; Machine learning techniques; Many electron; Many-body systems; Particle state; Quantum computing architectures; Quantum dot arrays; Quantum dot systems; Semiconductor quantum dots,
Hou Y.-Y.; Li J.; Chen X.-B.; Tian Y.,Quantum partial least squares regression algorithm for multiple correlation problem,2022,Chinese Physics B,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126066937&doi=10.1088%2f1674-1056%2fac1b84&partnerID=40&md5=36911d2e1f6ad315414b7b9e9906110d,"Partial least squares (PLS) regression is an important linear regression method that efficiently addresses the multiple correlation problem by combining principal component analysis and multiple regression. In this paper, we present a quantum partial least squares (QPLS) regression algorithm. To solve the high time complexity of the PLS regression, we design a quantum eigenvector search method to speed up principal components and regression parameters construction. Meanwhile, we give a density matrix product method to avoid multiple access to quantum random access memory (QRAM) during building residual matrices. The time and space complexities of the QPLS regression are logarithmic in the independent variable dimension n, the dependent variable dimension w, and the number of variables m. This algorithm achieves exponential speed-ups over the PLS regression on n, m, and w. In addition, the QPLS regression inspires us to explore more potential quantum machine learning applications in future works. © 2022 Chinese Physical Society and IOP Publishing Ltd.",eigenvalue decomposition; partial least squares regression; quantum machine learning,Learning algorithms; Least squares approximations; Machine learning; Matrix algebra; Principal component analysis; Random access storage; Regression analysis; Eigen-value; Eigenvalue decomposition; Least-square regression algorithms; Linear regression methods; Multiple correlation; Multiple regressions; Partial least square regression; Principal-component analysis; Quantum machine learning; Variable-dimension; Eigenvalues and eigenfunctions,
Hamilton K.E.; Lynn E.; Pooser R.C.,Mode connectivity in the loss landscape of parameterized quantum circuits,2022,Quantum Machine Intelligence,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130034337&doi=10.1007%2fs42484-021-00059-5&partnerID=40&md5=4276c229cc30fc60fc6741e4b9d7204b,"Variational training of parameterized quantum circuits (PQCs) underpins many workflows employed on near-term noisy intermediate scale quantum (NISQ) devices. It is a hybrid quantum-classical approach that minimizes an associated cost function in order to train a parameterized ansatz. In this paper we adapt the qualitative loss landscape characterization for neural networks introduced in Goodfellow et al. (2014); Li et al. (2017) and tests for connectivity used in Draxler et al. (2018) to study the loss landscape features in PQC training. We present results for PQCs trained on a simple regression task, using the bilayer circuit ansatz, which consists of alternating layers of parameterized rotation gates and entangling gates. Multiple circuits are trained with 3 different batch gradient optimizers: stochastic gradient descent, the quantum natural gradient, and Adam. We identify large features in the landscape that can lead to faster convergence in training workflows. © 2022, Springer Nature Switzerland AG.",Circuit design; Gradient-based optimization; Mode connectivity; Quantum machine learning; Visualization,Cost functions; Gradient methods; Machine learning; Optimization; Stochastic systems; Timing circuits; Circuit designs; Classical approach; Gradient-based optimization; Mode connectivity; Parameterized; Quantum circuit; Quantum device; Quantum machine learning; Quantum-classical; Work-flows; Parameterization,
Suzuki Y.; Gao Q.; Pradel K.C.; Yasuoka K.; Yamamoto N.,Natural quantum reservoir computing for temporal information processing,2022,Scientific Reports,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123717106&doi=10.1038%2fs41598-022-05061-w&partnerID=40&md5=47c9731de75f703d662ebe2305090180,"Reservoir computing is a temporal information processing system that exploits artificial or physical dissipative dynamics to learn a dynamical system and generate the target time-series. This paper proposes the use of real superconducting quantum computing devices as the reservoir, where the dissipative property is served by the natural noise added to the quantum bits. The performance of this natural quantum reservoir is demonstrated in a benchmark time-series regression problem and a practical problem classifying different objects based on temporal sensor data. In both cases the proposed reservoir computer shows a higher performance than a linear regression or classification model. The results indicate that a noisy quantum device potentially functions as a reservoir computer, and notably, the quantum noise, which is undesirable in the conventional quantum computation, can be used as a rich computation resource. © 2022, The Author(s).",,,
