Authors,Title,Year,Source title,Cited by,Link,Abstract,DOI,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Publisher,Sponsors,Conference name,Conference date,Conference location,Document Type,Open Access
Rawat D.B.; Bajracharya C.,"The Intersection of Quantum Computing, AI, and Cybersecurity: Challenges and Opportunities",2024,"Proceedings - 2024 IEEE 6th International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications, TPS-ISA 2024",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85217856789&doi=10.1109%2fTPS-ISA62245.2024.00029&partnerID=40&md5=042e2d0e216a79e12066a35cd3089d35,"Recent advancements and the collaboration between the groundbreaking artificial intelligence (AI), with the wider visibility sparked by generative AI in late 2022, and quantum computing technologies have the potential to revolutionize the world, reshape the tech industry, and mark the beginning of a new era of business disruption and innovation. Furthermore, quantum computing when combined with AI, has the potential to bring a new computing revolution surpassing today's innovation by a wide margin for different fields including cybersecurity. In one hand, digital landscape has been complex making cybersecurity more crucial than ever. On the other hand, traditional methods of safeguarding information are being pushed to their limits with the rapid advancement of technologies. The emergence of quantum computing, combined with AI, is poised to revolutionize the field of cybersecurity, presenting both unprecedented opportunities and challenges. This paper presents challenges and perspectives when quantum-powered AI and cybersecurity meet for business and innovations.  © 2024 IEEE.",10.1109/TPS-ISA62245.2024.00029,"Howard University, Department of Electrical Engineering & Computer Science, Washington, 20059, DC, United States; University of Maryland Global Campus, Department of Information Technology, Adelphi, 20783, MD, United States","Rawat D.B., Howard University, Department of Electrical Engineering & Computer Science, Washington, 20059, DC, United States; Bajracharya C., University of Maryland Global Campus, Department of Information Technology, Adelphi, 20783, MD, United States",AI for cybersecurity; Cybersecurity; Quantum Computing; Quantum safe Cybersecurity; Quantum-Powered AI,Quantum computers; Quantum electronics; Artificial intelligence for cybersecurity; Business disruption; Business innovation; Computing technology; Cyber security; Quantum Computing; Quantum safe cybersecurity; Quantum-powered artificial intelligence,Institute of Electrical and Electronics Engineers Inc.,,"6th IEEE International Conference on Trust, Privacy and Security in Intelligent Systems, and Applications, TPS-ISA 2024",28 October 2024 through 30 October 2024,Washington,Conference paper,
Ma H.; Ye L.; Ruan F.; Li M.; Zhao Z.; Wang Y.; Yang J.,Demonstration of Quantum Generative Adversarial Network with a Silicon Photonic Chip,2024,"2024 Conference on Lasers and Electro-Optics, CLEO 2024",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85215097090&doi=10.1364%2fcleo_at.2024.jth2a.73&partnerID=40&md5=0c259e6e56fa118e1ee025653a86a06e,We demonstrated a hybrid quantum-classical generative adversarial network (GAN) with a silicon photonic chip capable of generating arbitrary 2-qubit states. The chip was successfully applied for classical distribution loading and MNIST image generation. © Optica Publishing Group 2024 © 2024 The Author(s),10.1364/cleo_at.2024.jth2a.73,"College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China","Ma H., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Ye L., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Ruan F., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Li M., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Zhao Z., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Wang Y., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China; Yang J., College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, 310027, China",Electro-optical waveguides; Generative adversarial networks; Hybrid power systems; Image synthesis; Laser applications; Loading; Log-normal distribution; Machine learning; Quantum state; Silicon photonics,Photonic devices; Photonic integrated circuits; Quantum computers; Quantum electronics; Adversarial networks; Electro-optical; Electro-optical waveguide; Hybrid power; Hybrid power system; Images synthesis; Log-normal distribution; Machine-learning; Quantum state; Silicon photonics; Silicon photonics,Institute of Electrical and Electronics Engineers Inc.,"American Elements; American Physical Society, Division of Laser Science; et al.; IEEE Photonics Society; IPG Photonics; LIGENTEC","2024 Conference on Lasers and Electro-Optics, CLEO 2024",7 May 2024 through 10 May 2024,Charlotte,Conference paper,
Widdows D.; Alexander A.; Zhu D.; Zimmerman C.; Majumder A.,Near-term advances in quantum natural language processing,2024,Annals of Mathematics and Artificial Intelligence,8,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85190283249&doi=10.1007%2fs10472-024-09940-y&partnerID=40&md5=081454bc3cef0568203d9131db3b52e3,"This paper describes experiments showing that some tasks in natural language processing (NLP) can already be performed using quantum computers, though so far only with small datasets. We demonstrate various approaches to topic classification. The first uses an explicit word-based approach, in which word-topic weights are implemented as fractional rotations of individual qubits, and a phrase is classified based on the accumulation of these weights onto a scoring qubit, using entangling quantum gates. This is compared with more scalable quantum encodings of word embedding vectors, which are used to compute kernel values in a quantum support vector machine: this approach achieved an average of 62% accuracy on classification tasks involving over 10000 words, which is the largest such quantum computing experiment to date. We describe a quantum probability approach to bigram modeling that can be applied to understand sequences of words and formal concepts, investigate a generative approximation to these distributions using a quantum circuit Born machine, and introduce an approach to ambiguity resolution in verb-noun composition using single-qubit rotations for simple nouns and 2-qubit entangling gates for simple verbs. The smaller systems presented have been run successfully on physical quantum computers, and the larger ones have been simulated. We show that statistically meaningful results can be obtained, but the quality of individual results varies much more using real datasets than using artificial language examples from previous quantum NLP research. Related NLP research is compared, partly with respect to contemporary challenges including informal language, fluency, and truthfulness. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.",10.1007/s10472-024-09940-y,"IonQ Inc., College Park, MD, United States","Widdows D., IonQ Inc., College Park, MD, United States; Alexander A., IonQ Inc., College Park, MD, United States; Zhu D., IonQ Inc., College Park, MD, United States; Zimmerman C., IonQ Inc., College Park, MD, United States; Majumder A., IonQ Inc., College Park, MD, United States",68T50; 81P68; QNLP; Quantum computing; Quantum natural language processing; Quantum NLP,,Springer Science and Business Media Deutschland GmbH,,,,,Article,
Riofrio C.A.; Mitevski O.; Jones C.; Krellner F.; Vuckovic A.; Doetsch J.; Klepsch J.; Ehmer T.; Luckow A.,A Characterization of Quantum Generative Models,2024,ACM Transactions on Quantum Computing,2,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85194329111&doi=10.1145%2f3655027&partnerID=40&md5=830befdad3e82a85b2ea00e8acda710a,"Quantum generative modeling is a growing area of interest for industry-relevant applications. This work systematically compares a broad range of techniques to guide quantum computing practitioners when deciding which models and methods to use in their applications. We compare fundamentally different architectural ansatzes of parametric quantum circuits: (1) A continuous architecture, which produces continuous-valued data samples, and (2) a discrete architecture, which samples on a discrete grid. We also compare the performance of different data transformations: the min-max and the probability integral transforms. We use two popular training methods: (1) quantum circuit Born machines (QCBM), and (2) quantum generative adversarial networks (QGAN). We study their performance and tradeoffs as the number of model parameters increases, with a baseline comparison of similarly trained classical neural networks. The study is performed on six low-dimensional synthetic and two real financial data sets. Our two key findings are that: (1) For all data sets, our quantum models require similar or fewer parameters than their classical counterparts. In the extreme case, the quantum models require two orders of magnitude less parameters. (2) We empirically find that a variant of the discrete architecture, which learns the copula of the probability distribution, outperforms all other methods.  © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",10.1145/3655027,"BMW Group, Germany; QUTAC, Quantum Technology and Application Consortium, Germany; Munich Re, Germany; Caitlin Jones, BASF Digital Solutions GmbH, Germany; SAP SE, Germany; Faculty of Physics, TU Darmstadt, Germany; Healthcare R and D Digital Innovation, Merck KGaA, Germany; Lufthansa Industry Solutions, Germany","Riofrio C.A., BMW Group, Germany, QUTAC, Quantum Technology and Application Consortium, Germany; Mitevski O., QUTAC, Quantum Technology and Application Consortium, Germany, Munich Re, Germany; Jones C., QUTAC, Quantum Technology and Application Consortium, Germany, Caitlin Jones, BASF Digital Solutions GmbH, Germany; Krellner F., QUTAC, Quantum Technology and Application Consortium, Germany, SAP SE, Germany; Vuckovic A., QUTAC, Quantum Technology and Application Consortium, Germany, Faculty of Physics, TU Darmstadt, Germany, Healthcare R and D Digital Innovation, Merck KGaA, Germany; Doetsch J., QUTAC, Quantum Technology and Application Consortium, Germany, Lufthansa Industry Solutions, Germany; Klepsch J., BMW Group, Germany, QUTAC, Quantum Technology and Application Consortium, Germany; Ehmer T., QUTAC, Quantum Technology and Application Consortium, Germany, Healthcare R and D Digital Innovation, Merck KGaA, Germany; Luckow A., BMW Group, Germany, QUTAC, Quantum Technology and Application Consortium, Germany",datasets; neural networks; Quantum machine learning,Architecture; Generative adversarial networks; Network architecture; Probability distributions; Quantum optics; Data set; Dataset; Generative model; Machine-learning; Neural-networks; Performance; Quantum circuit; Quantum machine learning; Quantum machines; Quantum models; Integral equations,Association for Computing Machinery,,,,,Article,All Open Access; Bronze Open Access; Green Open Access
Qi H.; Wang J.; Cui Y.,VQCNN: variational quantum convolutional neural networks based on quantum filters and fully connected layers,2024,Computer Journal,1,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85207345299&doi=10.1093%2fcomjnl%2fbxae062&partnerID=40&md5=a4e4cf4c9b89cecc162d5506ca79d3dd,"Classical machine learning is more susceptible to adversarial examples due to its linear and non-robust nature, which results in a severe degradation of the recognition accuracy of classical machine learning models. Quantum techniques are shown to have a higher robustness advantage and are more resistant to attacks from adversarial examples than classical machine learning. Inspired by the robustness advantage of quantum computing and the feature extraction advantage of convolutional neural networks, this paper proposes a novel variational quantum convolutional neural network model (VQCNN), whose quantum fully connected layer consists of a combination of a quantum filter and a variational quantum neural network to increase the model’s adversarial robustness. The network intrusion detection model based on VQCNN is verified on KDD CUP99 and UNSW-NB datasets. The results show that under the attack of Fast Gradient Sign Method, the decline values of accuracy, precision, and recall rate of the intrusion detection model based on VQCNN are less than those of the other four models, and it has higher adversarial robustness. © The British Computer Society 2024. All rights reserved.",10.1093/comjnl/bxae062,"School of Computer Science and Technology, Shenyang Aerospace University, No. 37 Daoyi South Avenue, Shenbei New Area, Shenyang, 110136, China","Qi H., School of Computer Science and Technology, Shenyang Aerospace University, No. 37 Daoyi South Avenue, Shenbei New Area, Shenyang, 110136, China; Wang J., School of Computer Science and Technology, Shenyang Aerospace University, No. 37 Daoyi South Avenue, Shenbei New Area, Shenyang, 110136, China; Cui Y., School of Computer Science and Technology, Shenyang Aerospace University, No. 37 Daoyi South Avenue, Shenbei New Area, Shenyang, 110136, China",,Contrastive Learning; Convolution; Convolutional neural networks; Generative adversarial networks; Intrusion detection; Multilayer neural networks; Network intrusion; Neural network models; Quantum communication; Quantum computers; Quantum electronics; Quantum optics; Wiener filtering; Convolutional neural network; Intrusion detection models; Machine learning models; Machine-learning; Model-based OPC; Network-based; Neural network model; Quantum filters; Quantum techniques; Recognition accuracy; Adversarial machine learning,Oxford University Press,,,,,Article,
Wong W.K.O.,The sudden disruptive rise of generative artificial intelligence? An evaluation of their impact on higher education and the global workplace,2024,"Journal of Open Innovation: Technology, Market, and Complexity",9,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85191490829&doi=10.1016%2fj.joitmc.2024.100278&partnerID=40&md5=ffbdaeaea6a37f980fc9ab6ee0038a21,"This paper evaluates the rise of “Generative Artificial Intelligence” (GAI) in its myriad forms, with the highest profile being the “Large Language Models” (LLMs). More importantly, it analyses the potentially disruptive impact of this ascendant technology on higher education and the global workplace. The findings of this paper indicate that students pursuing higher education tend to perceive GAI favourably, as it frees them from the toil of rote-learning. However, the view is rather mixed in the case of educators, who are still coming to grips with this seemingly disruptive technology. In the case of the global labour market, GAI has the potential to decimate legions of white-collar jobs once it eliminates inherent issues of biases, security and misinformation. Despite the media's constant labelling of GAI as a disruptive technology that has suddenly burst onto the technological scene, it is evidenced in this paper that the technology has taken nearly eight decades to reach today's level of technological advancement. Further, it is far from reaching its full potential, as it is still incorporating advances in pattern recognition, planning and problem solving, and quantum computing technologies. This study also warns of concentrating the power of this game-changing technology in the hands of a few major corporate titans. © 2024 The Authors",10.1016/j.joitmc.2024.100278,"Pan Sutong Shanghai-Hong Kong Economic Policy Research Institute (PSEI), Lingnan University, Hong Kong; Academy for Applied Policy Studies and Education Futures (AAPSEF), The Education University of Hong Kong, Hong Kong","Wong W.K.O., Pan Sutong Shanghai-Hong Kong Economic Policy Research Institute (PSEI), Lingnan University, Hong Kong, Academy for Applied Policy Studies and Education Futures (AAPSEF), The Education University of Hong Kong, Hong Kong",Disruptive; GAI; GPT; LLMs; “AI-optimists”; “AI-sceptics”,,Elsevier B.V.,,,,,Article,All Open Access; Gold Open Access
Saputra B.D.; Murdiono M.; Tohani E.; Ibda H.,AIEd in Elementary School Nationalism Education: A Systematic Literature Review,2024,"International Journal of Learning, Teaching and Educational Research",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85214867717&doi=10.26803%2fijlter.23.12.10&partnerID=40&md5=b312ddea09c5052e0acdd44535bc6199,"This paper presents a systematic literature review (SLR) on artificial intelligence in education (AIEd) in elementary school nationalism education based on Scopus literature 2020-2024. This research, using the SLR method and PRISMA protocol, was carried out by means of an article search process through the stages of identification, filtering, eligibility, inclusion, and presentation of analysis with the Scopus database via Publish or Perish 7, VOSviewer and ATLAS.ti. The research findings indicate AIEd integrates AI and artificial technology, Google, Facebook, smartphones, and IoT with education, curriculum, learning, student skills, and assessment for improving nationalism learning in elementary schools. AIEd features have evolved from traditional AI technologies to more advanced ones: intelligent tutors, tutees, learning tools, and policy-making advisors. The AIEd programs include chatbots, ChatGPT, ChatGPT-3, ChatGPT-4, Microsoft Copilot, AI-Writer, Bard, Bing Chat, Botsify, Chat PDF, Claude, Consensus, Copy.ai, Duolingo, Ebbot by Learnify, Elicit, Ernie, Essay Writer, Jasper AI, Jenni AI, Laser AI, Lateral AI, Ludwig, PaperPal, Plaito, Querium, and Quillbot. Further programs include Research Rabbit, Scholarcy, SciSpace, Wisio, Wordtune, Writely AI, ALEKS, Deakin University's Genie, Pounce Chatbot, machine learning (ML), and deep learning (DL). In addition, there are also programs such as neural networks, quantum computing, Google's Teachable Machine, Machine Learning for Kids, Pop Bots, Scratch, Python, Khan Academy, Duolingo, Generative AI, and LLMs. The application of AIEd in elementary nationalism education implies the integration of technological pedagogical content knowledge TPACK, DL, predictive analysis, ML, neural networks, expert systems, and social robotics in fostering democratic and civic awareness with a combination of movies, puppets, comics, nationalism characters, integrity, and textbooks. ©Authors.",10.26803/ijlter.23.12.10,"Department of Doctoral of Basic Education, Faculty of Education and Psychology, Universitas Negeri Yogyakarta, Yogyakarta, Indonesia; Department of Madrasah Ibtidaiyah Teacher Education, Faculty of Tarbiyah and Teacher Training, Institut Islam Nahdlatul Ulama Temanggung, Temanggung, Indonesia","Saputra B.D., Department of Doctoral of Basic Education, Faculty of Education and Psychology, Universitas Negeri Yogyakarta, Yogyakarta, Indonesia; Murdiono M., Department of Doctoral of Basic Education, Faculty of Education and Psychology, Universitas Negeri Yogyakarta, Yogyakarta, Indonesia; Tohani E., Department of Doctoral of Basic Education, Faculty of Education and Psychology, Universitas Negeri Yogyakarta, Yogyakarta, Indonesia; Ibda H., Department of Madrasah Ibtidaiyah Teacher Education, Faculty of Tarbiyah and Teacher Training, Institut Islam Nahdlatul Ulama Temanggung, Temanggung, Indonesia","AIEd, nationalism; elementary school; nationalism education; systematic literature review",,Society for Research and Knowledge Management,,,,,Review,
Cui M.; Chang L.; Chau A.; Mekuria H.; Adwankar L.; Pendyala S.; McMahan L.,Efficient and Optimized Small Organic Molecular Graph Generation Pathway Using a Quantum Generative Adversarial Network,2024,"Proceedings - IEEE Quantum Week 2024, QCE 2024",0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85217420611&doi=10.1109%2fQCE60285.2024.00183&partnerID=40&md5=450158406d1a9544f3d3e24b764f8182,"Contemporary drug discovery and development processes require billions of dollars and lengthy amounts of time, which is why researchers are utilizing computational chemistry methods like machine learning to speed up molecular synthesis pathways. Generative Adversarial Networks, in particular, have shown immense potential for accelerating the drug discovery pipeline. However, these models consume a significant amount of computational resources, as they must perform adversarial training on expansive datasets to accurately sample the vast chemical space. Aiming for more efficient runtimes and rigorous analyses of high-dimensional molecular data with quantum computing, we previously developed a hybrid quantum-classical generative adversarial network (QGAN) to generate potential small organic drug candidates. Later, inspired by the classical NetGAN, we upgraded QGAN to a hybrid quantum-classical graph generative adversarial network (QNetGAN) which generated graph structures via random walks. This model was more efficient and had a higher accuracy rate (47.0%) than QGAN (2.3%). Most recently, we developed QNetGAN v2, an upgraded version of QNetGAN that features graph convolution. This model was able to generate 273 out of 300 structurally valid molecules that satisfy the octet rule and Lipinski's Rule of Five, yielding an 91.0% success rate and a training time of 35 minutes. This was made possible by integrating several post-processing algorithms into the original QNetGAN model, including the octet rule satisfaction validator, hydrogen addition algorithm, formal charge calculation, and molecular geometry (.XYZ file coordinate) calculation. In the future, we plan to use the QNetGAN v2 pathway to generate molecules with a wider range of elements and add functionality to calculate important molecular properties, ideally developing a third and more capable version of the QNetGAN molecular generation pathway that is able to outperform the accuracy of classical NetGAN. © 2024 IEEE.",10.1109/QCE60285.2024.00183,"University of Toronto, Toronto, Canada; Aspiring Scholars Directed Research Program, Fremont, United States; University of California, Berkeley, Berkeley, United States","Cui M., University of Toronto, Toronto, Canada; Chang L., Aspiring Scholars Directed Research Program, Fremont, United States; Chau A., University of California, Berkeley, Berkeley, United States; Mekuria H., University of California, Berkeley, Berkeley, United States; Adwankar L., Aspiring Scholars Directed Research Program, Fremont, United States; Pendyala S., Aspiring Scholars Directed Research Program, Fremont, United States; McMahan L., Aspiring Scholars Directed Research Program, Fremont, United States",graph convolution; molecular generation; QNetGAN; Quantum Graph Generative Adversarial Network,Computational geometry; Convolution; Molecular docking; Network theory (graphs); Adversarial networks; Graph convolution; Graph generation; Molecular generation; Molecular graphs; Organics; QNetGAN; Quantum graph; Quantum graph generative adversarial network; Quantum-classical; Generative adversarial networks,Institute of Electrical and Electronics Engineers Inc.,et al.; Keysight; Microsoft; Q-CTRL; QBLOX; Quantinuum,"5th IEEE International Conference on Quantum Computing and Engineering, QCE 2024",15 September 2024 through 20 September 2024,Montreal,Conference paper,
Zhao R.-S.; Ma H.-Y.; Cheng T.; Wang S.; Fan X.-K.,Quantum generative adversarial networks based on a readout error mitigation method with fault tolerant mechanism,2024,Chinese Physics B,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85188964497&doi=10.1088%2f1674-1056%2fad02e7&partnerID=40&md5=dc62fc1d8ac19f41488b00030e8cc8ed,"Readout errors caused by measurement noise are a significant source of errors in quantum circuits, which severely affect the output results and are an urgent problem to be solved in noisy-intermediate scale quantum (NISQ) computing. In this paper, we use the bit-flip averaging (BFA) method to mitigate frequent readout errors in quantum generative adversarial networks (QGAN) for image generation, which simplifies the response matrix structure by averaging the qubits for each random bit-flip in advance, successfully solving problems with high cost of measurement for traditional error mitigation methods. Our experiments were simulated in Qiskit using the handwritten digit image recognition dataset under the BFA-based method, the Kullback-Leibler (KL) divergence of the generated images converges to 0.04, 0.05, and 0.1 for readout error probabilities of p = 0.01, p = 0.05, and p = 0.1, respectively. Additionally, by evaluating the fidelity of the quantum states representing the images, we observe average fidelity values of 0.97, 0.96, and 0.95 for the three readout error probabilities, respectively. These results demonstrate the robustness of the model in mitigating readout errors and provide a highly fault tolerant mechanism for image generation models. © 2024 Chinese Physical Society and IOP Publishing Ltd.",10.1088/1674-1056/ad02e7,"School of Sciences, Qingdao University of Technology, Qingdao, 266033, China; School of Information and Control Engineering, Qingdao University of Technology, Qingdao, 266033, China","Zhao R.-S., School of Sciences, Qingdao University of Technology, Qingdao, 266033, China; Ma H.-Y., School of Sciences, Qingdao University of Technology, Qingdao, 266033, China; Cheng T., School of Information and Control Engineering, Qingdao University of Technology, Qingdao, 266033, China; Wang S., School of Information and Control Engineering, Qingdao University of Technology, Qingdao, 266033, China; Fan X.-K., School of Sciences, Qingdao University of Technology, Qingdao, 266033, China",bit-flip averaging method; fault tolerant mechanisms; quantum generative adversarial networks; readout errors,Character recognition; Generative adversarial networks; Image recognition; Quantum computers; Random errors; Averaging method; Bit-flip averaging method; Bit-flips; Error mitigation; Error probabilities; Fault-tolerant mechanism; Image generations; Mitigation methods; Quantum generative adversarial network; Readout error; Fault tolerance,Institute of Physics,,,,,Article,
de Negreiros A.C.S.V.; Giraldi G.,"Image Denoising: A Review about its Past, Present, and Future",2024,International Journal of Engineering Trends and Technology,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85210944479&doi=10.14445%2f22315381%2fIJETT-V72I11P121&partnerID=40&md5=9995712567562d32708b151cdf9f7dc2,"Digital images have played an important role in the modern world. In this sense, image noise reduction techniques have become an important research field for many reasons. This work presents a whole perspective of the image denoising field since the first published article to state-of-the-art research. In this context, we analyzed classical and modern methods and metrics applied to remove noise from images, considering the whole collection encountered in the SCOPUS database. It was verified that classical computer vision techniques were extensively used in this context, above all different image filters. On the other hand, modern techniques hold on deep learning models, including combining them with classical techniques. Models such as Generative Adversarial Networks (GANs), variational techniques, residual networks, denoising diffusion probabilistic models, and quantum computing appear as future trends in this knowledge area. Also, some research gaps were found.  © 2024 Seventh Sense Research Group.",10.14445/22315381/IJETT-V72I11P121,"Federal Rural University of the Semi-Arid (UFERSA), Mossoró, Brazil; National Laboratory of Cientific Computing (LNCC), Petrópolis, Brazil","de Negreiros A.C.S.V., Federal Rural University of the Semi-Arid (UFERSA), Mossoró, Brazil; Giraldi G., National Laboratory of Cientific Computing (LNCC), Petrópolis, Brazil",Classical computer vision techniques; Deep learning models; GANs; Image denoising; SCOPUS database,,Seventh Sense Research Group,,,,,Review,
Cohen S.,The basics of machine learning and artificial intelligence,2024,Digital Pathology: Implementation in Clinical Practice with AI applications,0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85212907783&doi=10.1016%2fB978-0-443-13809-6.00013-0&partnerID=40&md5=4dde8ff2f3a3e086142dee89e0dcd396,"Digital pathology allows the capture of data in a form accessible to computer input and thus makes machine learning, which is the basis of artificial intelligence, possible. Much of AI is based on so-called deep learning, involving algorithms with multiple layers between input and output. However, there are also uses for simple models, such as those based on geometric, probabilistic, or stratification strategies. This chapter will describe these approaches with specific attention to the most popular forms of advanced forms of neural networks. as well as a brief overview of recent developments such as neuromorphic and quantum computing. Although current AI models are one-trick ponies (with the exception of some simple tweaks such as transfer learning), breakthroughs such as ChatGPT could lead to the holy grail of “artificial general intelligence.” © 2025 Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",10.1016/B978-0-443-13809-6.00013-0,"Department of Pathology, Rutgers-NJMS, Newark, NJ, United States; Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, United States; Kimmel School of Medicine, Jefferson University, Philadelphia, PA, United States","Cohen S., Department of Pathology, Rutgers-NJMS, Newark, NJ, United States, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, United States, Kimmel School of Medicine, Jefferson University, Philadelphia, PA, United States",adversarial network; attention; attributes; autoencoders; convolution; Feature vector; generative; neural network; neuromorphic; quantum; recurrent; reinforcement; residual; support vectors; transformation,,Elsevier,,,,,Book chapter,
Preda A.T.; Pantis-Simut C.-A.; Marciu M.; Anghel D.-V.; Allosh A.; Ion L.; Manolescu A.; Nemnes G.A.,Design of Nanoscale Quantum Interconnects Aided by Conditional Generative Adversarial Networks,2024,Applied Sciences (Switzerland),0,https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85192488826&doi=10.3390%2fapp14031111&partnerID=40&md5=840864eba8d0edfdafe93fd9fed1ea32,"Interconnecting nanodevices with the aim of assembling quantum computing architectures is one of the current outstanding challenges. At the nanoscale, the quantum interconnects become comparable in complexity with the active devices and should be treated on equal footing. In addition, they can play an active role in the switching properties. Here, we investigate the charge localization in neuromorphic bi-dimensional systems, which serve as quantum interconnects (QIs) between quantum dot registers. We define a device structure where, by manipulating the charging of a floating gate array, one defines the QI potential map, which can host a few interacting electrons. The ground state charge density may be extracted by measuring the tunneling current perpendicular to the device surface, yielding a convoluted image of the electron distribution. Using image-to-image translation methods, we achieve the mapping of the charge density from the confinement potential, as well as by deconvoluting the tunneling current map, which can be obtained by a direct measurement. Thus, we provide a proof-of-concept for a reconfigurable device, which can be used to design quantum many-electron devices. © 2024 by the authors.",10.3390/app14031111,"Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania; Research Institute of the University of Bucharest (ICUB), 90 Panduri Street, Bucharest, 050663, Romania; Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania; Department of Engineering, Reykjavik University, Menntavegur 1, Reykjavik, IS-102, Iceland","Preda A.T., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania, Research Institute of the University of Bucharest (ICUB), 90 Panduri Street, Bucharest, 050663, Romania, Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania; Pantis-Simut C.-A., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania, Research Institute of the University of Bucharest (ICUB), 90 Panduri Street, Bucharest, 050663, Romania, Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania; Marciu M., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania; Anghel D.-V., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania, Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania; Allosh A., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania, Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania; Ion L., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania; Manolescu A., Department of Engineering, Reykjavik University, Menntavegur 1, Reykjavik, IS-102, Iceland; Nemnes G.A., Faculty of Physics, University of Bucharest, Atomistilor 405, Magurele-Ilfov, 077125, Romania, Research Institute of the University of Bucharest (ICUB), 90 Panduri Street, Bucharest, 050663, Romania, Horia Hulubei National Institute for Physics and Nuclear Engineering, Reactorului 30, Magurele-Ilfov, 077125, Romania",conditional generative adversarial network; neuromorphic devices; quantum computing; quantum interconnects,,Multidisciplinary Digital Publishing Institute (MDPI),,,,,Article,All Open Access; Gold Open Access
