Authors,Author full names,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type
Lisas T.; De Fréin R.,"Lisas, Tautvydas (58542925200); De Fréin, Ruairí (24824060300)",Quantum Classifiers for Video Quality Delivery,2023,"2023 Joint European Conference on Networks and Communications and 6G Summit, EuCNC/6G Summit 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168417496&doi=10.1109%2fEuCNC%2f6GSummit58263.2023.10188314&partnerID=40&md5=95926fcce7edfa624ad380d111865ec7,"Classical classifiers such as the Support Vector Classifier (SVC) struggle to accurately classify video Quality of Delivery (QoD) time-series due to the challenge in constructing suitable decision boundaries using small amounts of training data. We develop a technique that takes advantage of a quantum-classical hybrid infrastructure called Quantum-Enhanced Codecs (QEC). We evaluate a (1) purely classical, (2) hybrid kernel, and (3) purely quantum classifier for video QoD congestion classification, where congestion is either low, medium or high, using QoD measurements from a real networking test-bed. Findings show that the SVC performs the classification task 4% better in the low congestion state and the kernel method performs 6.1% and 10.1% better for the medium and high congestion states. Empirical evidence suggests that when the SVC is trained on a very low amount of data, the classification accuracy varies significantly depending on the quality of the training data, however, the variance in classification accuracy of quantum models is significantly lower. Classical video QoD classifiers benefit from the quantum data embedding techniques. They learn better decision regions using less training data.  © 2023 IEEE.",Jitter; Machine Learning; Quality of Deliv-ery; Quality of Service; Quantum Machine Learning,Classification (of information); Jitter; Quantum theory; Support vector machines; Classification accuracy; Machine-learning; Quality of deliv-ery; Quality-of-service; Quantum machine learning; Quantum machines; Support vector classifiers; Training data; Video quality; Quality of service,Conference paper
Ayoade O.; Rivas P.; Orduz J.; Rafi N.,"Ayoade, Olawale (57478266200); Rivas, Pablo (57207780751); Orduz, Javier (57406828700); Rafi, Nurul (58566653900)",Satellite image classification using quantum machine learning,2023,Artificial Intelligence in Earth Science: Best Practices and Fundamental Challenges,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170182794&doi=10.1016%2fB978-0-323-91737-7.00013-X&partnerID=40&md5=4adfc3d3fa94c2eb2491bc38a43b3255,"This chapter shows how to use quantum machine learning (QML) to classify satellite-observed hyperspectral images to distinguish vegetation from other land types. It gives an overview of QML and the used hyperspectral data and provides a step-by-step guide on building quantum neural networks (QNNs) with the goal of learning qubits and quantum circuits. After that, data encoding is discussed to demonstrate how classical data are encoded into quantum circuits. The QNN is then introduced to demonstrate the model's training and performance. Based on the results, a conclusion will be made about the advantages and disadvantages of QML, and open questions will be raised about how it might evolve in the near future. © 2023 Elsevier Inc. All rights reserved.",Image classification; MODIS; Quantum machine learning; Remote sensing,,Book chapter
Maurya R.; Tripathi S.,"Maurya, Ravikant (58515838500); Tripathi, Sarsij (57205906179)",Image Classification using Quantum Convolutional Neural Network,2023,"Proceedings of 2023 International Conference on Signal Processing, Computation, Electronics, Power and Telecommunication, IConSCEPT 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166378773&doi=10.1109%2fIConSCEPT57958.2023.10170712&partnerID=40&md5=984d6e7bb762942a8ea64147931ed942,"The unprecedented progress in the domain of quantum computing in the last few years has influenced researchers around the globe to solve multitudes of problems in this promising computing technology. This power of the quantum computer has allowed multitudes of computationally hard problems to be sped up exponentially over their classical counterparts. Along with such power, another promising application of quantum computing has been found in image processing and machine learning. Researches in both quantum image processing and quantum machine learning are still in their infancy but promise exceptional power over its classical counterparts. In this thesis, neural networks will be trained to determine parameters for various parametric quantum circuits to perform important classification tasks, such as image classification. But for image classification, features from the images must also be extracted and epresented in terms of qubits, requiring convolutional layers tailored for quantum techniques. This thesis aims to find good quantum convolutional neural network architectures for image classification with higher accuracy. This is still challenging due to increased cost and error with a higher number of qubits within a system. This thesis is expected to be important in the future direction of the research of quantum CNN.  © 2023 IEEE.",Deep Learning; Intelligent System; Machine Learning; QCNN; Quantum Computing,Convolution; Convolutional neural networks; Deep learning; Image classification; Learning systems; Network architecture; Quantum optics; Qubits; Classical counterpart; Computing technology; Convolutional neural network; Deep learning; Images classification; Machine-learning; Power; QCNN; Quanta computers; Quantum Computing; Intelligent systems,Conference paper
Gan B.Y.; Leykam D.; Angelakis D.G.,"Gan, Beng Yee (57226238142); Leykam, Daniel (35762724800); Angelakis, Dimitris G. (8153853700)",Fock state-enhanced expressivity of quantum machine learning models,2022,EPJ Quantum Technology,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132579193&doi=10.1140%2fepjqt%2fs40507-022-00135-0&partnerID=40&md5=c4f6e0d06e38712640bcaf5998640bdc,"The data-embedding process is one of the bottlenecks of quantum machine learning, potentially negating any quantum speedups. In light of this, more effective data-encoding strategies are necessary. We propose a photonic-based bosonic data-encoding scheme that embeds classical data points using fewer encoding layers and circumventing the need for nonlinear optical components by mapping the data points into the high-dimensional Fock space. The expressive power of the circuit can be controlled via the number of input photons. Our work sheds some light on the unique advantages offered by quantum photonics on the expressive power of quantum machine learning models. By leveraging the photon-number dependent expressive power, we propose three different noisy intermediate-scale quantum-compatible binary classification methods with different scaling of required resources suitable for different supervised classification tasks. © 2022, The Author(s).",Machine learning; Quantum photonics; Quantum physics,Algebra; Encoding (symbols); Photons; Signal encoding; Supervised learning; Data embedding process; Data encoding; Datapoints; Expressive power; Fock state; Machine learning models; Machine-learning; Quantum machines; Quantum photonics; Quantum physics; Light,Article
Hong Y.-Y.; Pula R.A.,"Hong, Ying-Yi (7403392780); Pula, Rolando A. (57194154778)",Methods of photovoltaic fault detection and classification: A review,2022,Energy Reports,31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129644052&doi=10.1016%2fj.egyr.2022.04.043&partnerID=40&md5=61c94d03a242459aeb74423fc0f87b99,"Photovoltaic (PV) fault detection and classification are essential in maintaining the reliability of the PV system (PVS). Various faults may occur in either DC or AC side of the PVS. The detection, classification, and localization of such faults are essential for mitigation, accident prevention, reduction of the loss of generated energy, and revenue. In recent years, the number of works of PV fault detection and classification has significantly increased. These works have been reviewed by considering the categorization of detection and classification techniques. This paper improves of the categorization of methods to study the faulty PVS by considering visual and thermal method and electrical based method. Moreover, an effort is made to list all potential faults in a PVS in both the DC and AC sides. Specific PV fault detection and classification techniques are also enumerated. A possible direction for research on the PV fault detection and classification, such as quantum machine learning, internet of things, and cloud/edge computing technologies, is suggested as a guide for future emerging technologies. © 2022 The Author(s)",Classification; Detection; Electrical based method; Fault; Photovoltaic system; Visual and thermal method,Engineering education; Fault detection; DC side; Detection; Electrical based method; Fault; Fault detection and classification; Photovoltaic systems; Photovoltaics; PV system; Thermal methods; Visual and thermal method; Solar cells,Review
,,"4th International Conference on Trends in Cognitive Computation Engineering, TCCE 2022",2023,Lecture Notes in Networks and Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163351135&partnerID=40&md5=5818af6b93a3b71b893bb57a348fa266,The proceedings contain 43 papers. The special focus in this conference is on Trends in Cognitive Computation Engineering. The topics include: Descriptive Analysis for Electric Bus During Non-Operational Stage; the Effectiveness Level on the Electric Buses Operation: Case Study for Affordability and Accessibility; IoMT-based Android Application for Monitoring COVID-19 Patients Using Real-Time Data; A Cost-Effective Unmanned Ground Vehicle (UGV) Using Swarm Robotics Technology for Surveillance and Future Combat; neural Network-Based Obstacle and Pothole Avoiding Robot; a Comparative Study of Psychiatric Characteristics Classification for Predicting Psychiatric Disorder; Material Named Entity Recognition (MNER) for Knowledge-Driven Materials Using Deep Learning Approach; An Improved Optimization Algorithm-Based Prediction Approach for the Weekly Trend of COVID-19 Considering the Total Vaccination in Malaysia: A Novel Hybrid Machine Learning Approach; analyzing the Effectiveness of Several Machine Learning Methods for Heart Attack Prediction; Ensemble Machine Learning Technique for Identifying COVID-19 from CT Scan Images; solving the Royalty Payment Problem Through Shooting Method; ECG Signal Classification Using Transfer Learning and Convolutional Neural Networks; partitional Technique for Searching Initial Cluster Centers in K-means Algorithm; a Novel Ensemble Methodology to Validate Fuzzy Clusters of Big Data; Model Analysis for Predicting Prostate Cancer Patient’s Survival: A SEER Case Study; quantum-Inspired Neural Network on Handwriting Datasets; an Efficient and Secure Data Deduplication Scheme for Cloud Assisted Storage Systems with Access Control; priority-Based Intelligent Reflecting Surface for Uplink 6G Communication; identifying Duplicate Questions Leveraging Recurrent Neural Network; stegoPix2Pix: Image Steganography Method via Pix2Pix Networks; machine Learning-Based Tomato Leaf Disease Diagnosis Using Radiomics Features; low-Cost Energy Efficient Encryption Algorithm for Portable Device.,,,Conference review
Miller L.; Uehara G.; Sharma A.; Spanias A.,"Miller, Leslie (58499225700); Uehara, Glen (57303046500); Sharma, Aradhita (58001176700); Spanias, Andreas (7006177932)",Quantum Machine Learning for Optical and SAR Classification,2023,"International Conference on Digital Signal Processing, DSP",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165453348&doi=10.1109%2fDSP58604.2023.10167979&partnerID=40&md5=81f93f151c7a4b1dd42dba055ab3d03d,"We present in this paper a method to compare scene classification accuracy of C-band Synthetic aperture radar (SAR) and optical images utilizing both classical and quantum computing algorithms. This REU study uses data from the Sentinel satellite. The dataset contains (i) synthetic aperture radar images collected from the Sentinel-1 satellite and (ii) optical images for the same area as the SAR images collected from the Sentinel-2 satellite. We examine classical neural networks to classify four classes of images. We then explore Quantum Convolutional Neural Networks and deep learning techniques in terms of their training and classification performance. A hybrid Quantum-classical model that is trained on the Sentinel1-2 dataset is proposed, and its performance is then compared against the classical model in terms of classification accuracy.  © 2023 IEEE.",deep learning; Neural Networks; Quantum convolutional neural network.; radar; REU; SAR; VGG16,Classification (of information); Convolution; Convolutional neural networks; Deep neural networks; Geometrical optics; Learning systems; Quantum computers; Radar imaging; Satellites; Space-based radar; Classification accuracy; Convolutional neural network; Deep learning; Neural-networks; Optical image; Quantum convolutional neural network.; REU; Sentinel-1; Synthetic aperture radar images; VGG16; Synthetic aperture radar,Conference paper
Mercaldo F.; Ciaramella G.; Iadarola G.; Storto M.; Martinelli F.; Santone A.,"Mercaldo, Francesco (55842609700); Ciaramella, Giovanni (57226878189); Iadarola, Giacomo (57213687432); Storto, Marco (57867100000); Martinelli, Fabio (7006394072); Santone, Antonella (6603700255)",Towards Explainable Quantum Machine Learning for Mobile Malware Detection and Classification †,2022,Applied Sciences (Switzerland),4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143741754&doi=10.3390%2fapp122312025&partnerID=40&md5=93df31b566630fb4a942b9e7bde433ba,"Through the years, the market for mobile devices has been rapidly increasing, and as a result of this trend, mobile malware has become sophisticated. Researchers are focused on the design and development of malware detection systems to strengthen the security and integrity of sensitive and private information. In this context, deep learning is exploited, also in cybersecurity, showing the ability to build models aimed at detecting whether an application is Trusted or malicious. Recently, with the introduction of quantum computing, we have been witnessing the introduction of quantum algorithms in Machine Learning. In this paper, we provide a comparison between five state-of-the-art Convolutional Neural Network models (i.e., AlexNet, MobileNet, EfficientNet, VGG16, and VGG19), one network developed by the authors (called Standard-CNN), and two quantum models (i.e., a hybrid quantum model and a fully quantum neural network) to classify malware. In addition to the classification, we provide explainability behind the model predictions, by adopting the Gradient-weighted Class Activation Mapping to highlight the areas of the image obtained from the application symptomatic of a certain prediction, to the convolutional and to the quantum models obtaining the best performances in Android malware detection. Real-world experiments were performed on a dataset composed of 8446 Android malicious and legitimate applications, obtaining interesting results. © 2022 by the authors.",Android; deep learning; malware; quantum; security,,Article
Prajapati J.B.; Paliwal H.; Prajapati B.G.; Saikia S.; Pandey R.,"Prajapati, Jigna B. (55795007900); Paliwal, Himanshu (57194621223); Prajapati, Bhupendra G. (58633632000); Saikia, Surovi (57200841914); Pandey, Rajiv (58280000900)",Quantum Machine Learning in Prediction of Breast Cancer,2023,Studies in Computational Intelligence,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152051666&doi=10.1007%2f978-981-19-9530-9_19&partnerID=40&md5=28b55fe13df80526608dcf0d190538cb,"Machine learning (ML) is the most promising subset of artificial intelligence. Quantum computing is prevalent for fast problem-solving approaches. The complex problems are classified and solved using huge multi-dimensional space. The various algorithms can interfere in multi-dimensional space and resolve the problems. Quantum Machine Learning provides the platform for various mining processes with to the point developments in quantum computing. Quantum computing & Machine learning both are very complex. Quantum Machine learning focuses on quick problem-solving synthesis with a quantum framework using different algorithms. Machine Learning functions by supervised, unsupervised, and semi-supervised learning mechanisms. ML uses label and unlabeled data to implement different classification, clustering, and decision trees for complex problems. Quantum computing comprises quantum counterparts for various computational complexity. Quantum Machine Learning provides a profound sympathetic approach for various subjects to derive new dimensioned results. There are several serious life-threatening diseases such as cancer, hepatotoxicity, cardiotoxicity, nephrotoxicity, etc. require prompt and precise detection at the early stages of progression. The need of the hour is to develop rapid, accurate, and more efficient strategies for various disease predictions which are also cost-effective and non-invasive in nature. Breast cancer is also such a disease that early screening is challenging owning to hereditary predisposition. Quantum computation techniques emerged with Machine learning as the promising approach in the past decade concerning the prediction of breast cancer. The quantum computes can be utilized for assisting cancer detection by employing quantum neural networks, quantum simulators, Super Vector Machine (SVM); Artificial Neural Networks (ANN), Dimensionality Reduction Algorithms etc. are used on the pre-processed dataset for the derived prediction of breast cancer. This book chapter will focus on current trends of Quantum Machine leaning for the prediction of breast cancers by solving complex computational problems using above stated algorithms. This chapter discusses the Molecular Classification of Breast Cancer as Luminal-A, Luminal-B, Normal-like, HER2 enriched, and Basal-like with Breast Cancer Diagnostic Techniques. It covers the study of Brest cancer prediction using Quantum Neural Network, Dimensionality Reduction Algorithms, and Support vector machines (SVM). It includes comparative discussions about different algorithms for breast cancer prediction. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",,,Book chapter
Akter M.S.; Shahriar H.; Iqbal Ahamed S.; Datta Gupta K.; Rahman M.; Mohamed A.; Rahman M.; Rahman A.; Wu F.,"Akter, Mst Shapna (57904953300); Shahriar, Hossain (23096391900); Iqbal Ahamed, Sheikh (7005199740); Datta Gupta, Kishor (58551131000); Rahman, Muhammad (55457931300); Mohamed, Atef (58488172800); Rahman, Mohammad (57212184265); Rahman, Akond (57188647874); Wu, Fan (57210292455)",Case Study-Based Approach of Quantum Machine Learning in Cybersecurity: Quantum Support Vector Machine for Malware Classification and Protection,2023,Proceedings - International Computer Software and Applications Conference,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168879575&doi=10.1109%2fCOMPSAC57700.2023.00161&partnerID=40&md5=c50112d8292d3ed41e38ddf36203bb09,"Quantum machine learning (QML) is an emerging field of research that leverages quantum computing to improve the classical machine learning approach to solve complex real-world problems. QML has the potential to address cybersecurity-related challenges. Considering the novelty and complex architecture of QML, resources are not yet explicitly available that can pave cybersecurity learners to instill efficient knowledge of this emerging technology. In this research, we design and develop QML-based ten learning modules covering various cybersecurity topics by adopting student centering case-study based learning approach. We apply one subtopic of QML on a cybersecurity topic comprised of pre-lab, lab, and post-lab activities towards providing learners with hands-on QML experiences in solving real-world security problems. In order to engage and motivate students in a learning environment that encourages all students to learn, pre-lab offers a brief introduction to both the QML subtopic and cybersecurity problem. In this paper, we utilize quantum support vector machine (QSVM) for malware classification and protection where we use open source Pennylane QML framework on the drebin215 dataset. We demonstrate our QSVM model and achieve an accuracy of 95% in malware classification and protection. We will develop all the modules and introduce them to the cybersecurity community in the coming days. © 2023 IEEE.",Cybersecurity; Malware Classification; Quantum Machine Learning (QML); Quantum Support Vector Machine (QSVM),Classification (of information); Computer aided instruction; Laboratories; Learning systems; Malware; Students; Case-studies; Cyber security; Machine learning approaches; Machine-learning; Malware classifications; Quantum Computing; Quantum machine learning; Quantum machines; Quantum support vector machine; Support vectors machine; Support vector machines,Conference paper
Jia R.; Yang G.; Nie M.; Liu Y.; Zhang M.,"Jia, Ruihong (58287179500); Yang, Guang (56982094500); Nie, Min (36928511700); Liu, Yuanhua (7410232480); Zhang, Meiling (55704440300)",Automatic Optimization of Variational Quantum Algorithm-Based Classifiers,2022,ACM International Conference Proceeding Series,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160101548&doi=10.1145%2f3573942.3573943&partnerID=40&md5=ced37f8728c9bf343543be3e7baaf124,"With the advent of the era of big data, how to efficiently process data has become an urgent problem. Although classical machine learning algorithms are very mature in processing data, they require a large amount of data to complete the training process. Quantum machine learning uses the superposition, entanglement, parallelism and other characteristics of quantum computing to improve the performance of classical machine learning algorithms. At the same time, circuit optimization of the quantum classifier can reduce the computational complexity. This paper proposes an automatic optimization model of the classifier based on the variational quantum algorithm, which reduces the complexity of the parameter update process through the deep optimization of the core circuit. This model greatly speeds up the training process and has lower complexity than other quantum classifiers. In addition, a unique regularization method is used to avoid overfitting. The simulation results show that the classification of some typical data sets can achieve better classification results, and the training parameters and training speed are significantly better than other quantum classifiers. Finally, the robustness of the classifier is further verified in the presence of noise. © 2022 ACM.",Automatic optimization; Machine learning; Quantum classifiers; Quantum computing,Data handling; Learning algorithms; Learning systems; Machine learning; Quantum computers; Quantum entanglement; Automatic optimization; Large amounts of data; Machine learning algorithms; Machine-learning; Process data; Quantum algorithms; Quantum classifier; Quantum Computing; Training process; Urgent problems; Classification (of information),Conference paper
Gajjar P.; Saxena A.; Ranpariya D.; Shah P.; Das A.,"Gajjar, Pranshav (57325642300); Saxena, Aayush (57843520500); Ranpariya, Divyesh (57671912000); Shah, Pooja (57202197733); Das, Anup (55450757300)",Empirical Analysis of Hybrid Classical Variational Quantum Neural Networks for Target Classification from SAR Data,2023,Lecture Notes in Electrical Engineering,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163305570&doi=10.1007%2f978-981-99-0085-5_39&partnerID=40&md5=2133049f6052ea5c2eb58cd784b60520,"The advancements in the field of quantum machine learning and the ability of quantum-enhanced networks to acquire a higher effective dimension are promising for remote sensing applications and synthetic aperture radar (SAR) data. This paper aims to incorporate variational quantum circuits with existing classification-based deep learning state-of-the-art architectures. Tests are proposed by using ResNets, DenseNets, and a SqueezeNet-based convolutional neural network. Various dressed quantum circuits associated with these encoders are created and tested for novel applicability analysis. A famous publicly available X-Band SAR image-based dataset called moving and stationary target acquisition and recognition (MSTAR) is utilized to demonstrate image-centric target classification. The utility of quantum-enhanced and hybrid classical-quantum transfer learning models is provided. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Deep learning; Quantum neural networks; Remote sensing; SAR imaging; Transfer learning,Classification (of information); Convolutional neural networks; Deep learning; Learning systems; Quantum theory; Radar imaging; Radar target recognition; Remote sensing; Transfer learning; Deep learning; Empirical analysis; Quantum circuit; Quantum machines; Quantum neural networks; Radar data; Remote-sensing; Synthetic aperture radar imaging; Target Classification; Transfer learning; Synthetic aperture radar,Conference paper
Shi S.; Wang Z.; Cui G.; Wang S.; Shang R.; Li W.; Wei Z.; Gu Y.,"Shi, Shangshang (57221840655); Wang, Zhimin (57209050255); Cui, Guolong (57219115086); Wang, Shengbin (57216439294); Shang, Ruimin (57221840181); Li, Wendong (26662277600); Wei, Zhiqiang (7402259116); Gu, Yongjian (7403046230)",Quantum-inspired complex convolutional neural networks,2022,Applied Intelligence,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127641097&doi=10.1007%2fs10489-022-03525-0&partnerID=40&md5=5cfc8aada5e3f264905e5cefab6f91bd,"Quantum-inspired artificial neural network is an interesting research area, which combines quantum computing and deep learning. Several models of quantum-inspired neuron with real-valued weights have been proposed, and they were mainly used to build the three-layer feedforward neural networks. In this work, we improve the convolutional neural networks (CNNs) by utilizing the quantum-inspired way of data representation and convolutional operation. Specifically, we first improve the quantum-inspired neuron by exploiting the complex-valued weights, which have richer representational capacity and better non-linearity. Moreover, we extend the method implementing the quantum-inspired neurons to perform convolutional operations, and naturally draw the models of quantum-inspired convolutional neural networks (QICNNs) capable of processing high-dimensional data. Here five specific types of QICNNs are proposed, which are different in the way of implementing the convolutional layers and fully connected layers. We establish the detail mathematical framework to implement the QICNNs. The performances of accuracy, convergence and robustness of the five QICNNs against the classical counterpart are tested using the MNIST and CIFAR-10 datasets. The results show that (1) the QICNN can achieve higher classification accuracy (up to 99.65%) than the classical CNN when using the MNIST dataset; (2) the QICNN has faster convergence speed, which means that QICNN can be trained easily than classical CNN when they have a similar number of parameters; (3) the QICNN has better robustness in the case of employing different way of weight initialization or rotating the input data. It is expected that our QICNNs can outperform the classical counterparts in more practical learning tasks. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Classification accuracy; Complex CNNs; Convergence; Quantum-inspired CNNs; Quantum-inspired neuron; Robustness,Classification (of information); Clustering algorithms; Complex networks; Convolution; Convolutional neural networks; Deep learning; Multilayer neural networks; Network layers; Quantum computers; Classical counterpart; Classification accuracy; Complex convolutional neural network; Convergence; Convolutional neural network; Quantum-inspired convolutional neural network; Quantum-inspired neuron; Research areas; Robustness; Neurons,Article
,,"3rd International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2022",2023,Lecture Notes in Networks and Systems,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141742084&partnerID=40&md5=4045bdfb6245b2e79d7681d2120561dd,"The proceedings contain 64 papers. The special focus in this conference is on IoT Based Control Networks and Intelligent Systems. The topics include: Comprehensive Assessment of Big Data in Recommendation Systems; review on Application of Wireless Technology Using IoT; Comparative Study of Conditional Generative Models for ISL Generation; a Novel Approach for Segmenting Coronary Artery from Angiogram Videos; analysis of Different Cryptographic Algorithms in Cloud-Based Multi-robot Systems; an IoT Based Environment Monitoring & Controlling System for Food Grain Warehouse; Numerical Analysis and ANN Modeling of the Intercooled, Reheat and Regenerative Gas Turbine Cycle; implementation of IoT Enabled Home Automation System; Scheduled Line of Symmetry Solar Tracker with MPT and IoT; early Stage Parkinson’s Disease Diagnosis and Detection Using K-Nearest Neighbors Algorithm; a New Method for Secure Transmission of Medical Images Using Wavelet Transform and Steganography; deep Learning Based Hand Sign Recognition in the Context of Indian Greetings and Gestures; Pedestrian Detection Using MobileNetV2 Based Mask R-CNN; Localization of Calcifications in Mammograms Using CNN with GAP Layer; comparative Analysis of Machine Learning and Deep Learning Algorithms for Real-Time Posture Detection to Prevent Sciatica, Kyphosis, Lordosis; lightweight Block Cipher for Resource Constrained IoT Environment—An Survey, Performance, Cryptanalysis and Research Challenges; image Classification Using Quantum Machine Learning; an Efficient Algorithm for Multi Class Classification in Deep Neural Network; Lung Cancer Classification System for CT Images using Deep Convolutional Neural Network; performance Analysis of Machine Learning Algorithms in Heart Diseases Prediction; ioT Crypto Security Communication System; Fluorescence Microscopic Image Reconstruction Using Variational Autoencoder and CycleGAN.",,,Conference review
Barua P.D.; Kobayashi M.; Tanabe M.; Baygin M.; Paul J.K.; Iype T.; Dogan S.; Tuncer T.; Tan R.-S.; Acharya U.R.,"Barua, Prabal Datta (36993665100); Kobayashi, Makiko (58599592300); Tanabe, Masayuki (35254215100); Baygin, Mehmet (55293658600); Paul, Jose Kunnel (57209663137); Iype, Thomas (6603007543); Dogan, Sengul (25653093400); Tuncer, Turker (37062172100); Tan, Ru-San (58601811400); Acharya, U. Rajendra (58509327300)",Innovative Fibromyalgia Detection Approach Based on Quantum-Inspired 3LBP Feature Extractor Using ECG Signal,2023,IEEE Access,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171552595&doi=10.1109%2fACCESS.2023.3315149&partnerID=40&md5=a9f4fa267a864442deb0e4c30a240cd3,"Fibromyalgia is a chronic pain syndrome associated with sleep disturbances, which may manifest as altered electroencephalography and electrocardiography (ECG) signal alterations during sleep. We aimed to develop a lightweight machine learning model for diagnosing fibromyalgia using single-lead ECG signals recorded during sleep. We analyzed 139 single-lead ECGs recorded during Stage 2 and Sleep Stage 3 of 16 patients with fibromyalgia and 16 age and sex matched controls. ECG records were divided into 15-second segments: 3308 and 1783 in healthy vs fibromyalgia classes, respectively. Our model comprised (1) feature extraction that combined an 8-wavelet filter and 4-level multiple filters-based multilevel discrete wavelet transform signal decomposition with a novel local binary pattern (LBP)-like function, 3LBP, that generated multiple patterns (analogous to quantum superposition) for feature map value extraction (the optimal input-specific pattern was dynamically selected using a novel forward-forward algorithm); (2) feature selection using neighborhood component analysis and Chi-square functions; (3) classification with k-nearest neighbors and support vector machine classifiers using leave-one-record-out cross-validation; and (4) mode function-based iterative majority voting to generate voted results, from which the best model result was derived. Our model attained binary classification accuracies of 93.87% and 92.02% for Sleep Stage 2 and Sleep Stage 3, respectively. The observed outcomes and empirical evidence unequivocally demonstrate the efficacy of our proposed methodology in differentiating the electrocardiographic signatures of fibromyalgia patients from control subjects. The model exhibited self-organizational properties and computational efficiency, rendering it amenable to facile clinical integration.  © 2013 IEEE.",3LBP; ECG-based fibromyalgia detection; leave-one-record-out cross-validation; multiple filters-based multilevel discrete wavelet transform; quantum-based feature extraction,Bandpass filters; Biomedical signal processing; Discrete wavelet transforms; Electrocardiography; Electroencephalography; Electrophysiology; Extraction; Iterative methods; Learning systems; Local binary pattern; Nearest neighbor search; Quantum theory; Signal reconstruction; Sleep research; Wavelet decomposition; 3LBP; Cross validation; Discrete-wavelet-transform; Electrocardiography-based fibromyalgia detection; Features extraction; Filter-based; Leave-one-record-out cross-validation; Multilevels; Multiple filter-based multilevel discrete wavelet transform; Quantum-based feature extraction; Feature extraction,Article
Ho R.; Hung K.,"Ho, Raymond (57217177340); Hung, Kevin (57193616622)",Exploring Quantum Machine Learning for Electroencephalogram Classification,2023,"13th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165201401&doi=10.1109%2fISCAIE57739.2023.10165407&partnerID=40&md5=fc6d4a4fcd82bd5f6530d76450baddea,"Quantum machine learning (QML) is a relatively new discipline emerging from the concepts of machine learning and quantum computing, whereby quantum algorithms are used to solve machine learning tasks. This paper explores the use of quantum machine learning for electroencephalogram (EEG) classification. In particular, a previously proposed EEG feature extraction method and classification framework for classifying dementia subjects were followed in this study. A quantum classifier replaced the classical classifier component of the framework, and the classification accuracies between the quantum and classical classifiers were compared. This study has demonstrated that applying QML in healthy-dementia classification can be implemented using near-term quantum devices or quantum simulators with moderate performance. The quantum classifier achieved an overall classification accuracy of 81.67% and 79.17% in a train-test split performance test and an n × k-fold cross-validation test, respectively. However, the quantum approach did not produce higher classification accuracies than the classical classifier. Despite the promise of quantum advantages, further investigation and optimization are required to improve its effectiveness. © 2023 IEEE.",dementia classification; EEG classification; quantum machine learning,Classification (of information); Learning algorithms; Machine learning; Neurodegenerative diseases; Quantum computers; Quantum theory; Classification accuracy; Dementia classification; Electroencephalogram classification; Feature extraction methods; Learning tasks; Machine-learning; Quantum algorithms; Quantum Computing; Quantum machine learning; Quantum machines; Electroencephalography,Conference paper
